Age,Avg,GC,GC-Time,Rider,Rnk,Team,Time,stage,year
32.0,38.089,1.0,+0:00,Leipheimer Levi,1,Gerolsteiner,4:53 4:53,0,2006
34.0,37.576,2.0,+0:05,Julich Bobby,2,CSC ProTeam,0:04 0:04,0,2006
32.0,37.45,3.0,+0:06,Hincapie George,3,Discovery Channel,0:05 0:05,0,2006
30.0,37.324,4.0,+0:06,Landis Floyd,4,Phonak Hearing Systems,0:06 0:06,0,2006
27.0,36.954,5.0,+0:09,Zabriskie David,5,CSC ProTeam,0:09 0:09,0,2006
24.0,36.954,6.0,+0:10,Cancellara Fabian,6,CSC ProTeam,",, 0:09",0,2006
32.0,36.832,7.0,+0:10,McCartney Jason,7,Discovery Channel,0:10 0:10,0,2006
25.0,36.832,8.0,+0:11,Roulston Hayden,8,Health Net Presented By Maxxis,",, 0:10",0,2006
23.0,36.832,9.0,+0:11,Gusev Vladimir,9,Discovery Channel,",, 0:10",0,2006
32.0,36.711,10.0,+0:11,Savoldelli Paolo,10,Discovery Channel,0:11 0:11,0,2006
27.0,36.711,11.0,+0:12,Danielson Thomas,11,Discovery Channel,",, 0:11",0,2006
29.0,36.59,12.0,+0:12,Evans Cadel,12,Davitamon - Lotto,0:12 0:12,0,2006
28.0,36.471,13.0,+0:14,Hunter Robert,13,Phonak Hearing Systems,0:13 0:13,0,2006
25.0,36.471,14.0,+0:14,Blackgrove Heath,14,,",, 0:13",0,2006
32.0,36.352,15.0,+0:14,Rodriguez Fred,15,Davitamon - Lotto,0:14 0:14,0,2006
27.0,36.352,16.0,+0:15,Jacques-Maynes Benjamin,16,,",, 0:14",0,2006
37.0,36.117,17.0,+0:16,Fraser Gordon,17,Health Net Presented By Maxxis,0:16 0:16,0,2006
32.0,36.117,18.0,+0:16,O'Grady Stuart,18,CSC ProTeam,",, 0:16",0,2006
28.0,36.117,19.0,+0:17,Haselbacher Rene,19,Gerolsteiner,",, 0:16",0,2006
23.0,36.0,20.0,+0:17,Pauriol R\xe9mi,20,Cr\xe9dit Agricole,0:17 0:17,0,2006
22.0,36.0,21.0,+0:17,Ricco Riccardo,21,,",, 0:17",0,2006
29.0,36.0,22.0,+0:17,Vande Velde Christian,22,CSC ProTeam,",, 0:17",0,2006
30.0,36.0,23.0,+0:17,Baldwin Christopher,23,,",, 0:17",0,2006
33.0,36.0,24.0,+0:17,Martin Perdiguero Miguel Angel,24,Phonak Hearing Systems,",, 0:17",0,2006
31.0,36.0,25.0,+0:17,O'Neill Nathan,25,Health Net Presented By Maxxis,",, 0:17",0,2006
30.0,36.0,26.0,+0:18,Barry Michael,26,Discovery Channel,",, 0:17",0,2006
30.0,36.0,27.0,+0:18,Kroon Karsten,27,CSC ProTeam,",, 0:17",0,2006
26.0,35.884,28.0,+0:19,Zajicek Philip,28,Navigators Insurance Cycling Team,0:18 0:18,0,2006
33.0,35.769,29.0,+0:20,H\xf8j Frank,29,Gerolsteiner,0:19 0:19,0,2006
27.0,35.769,30.0,+0:20,Kopp David,30,Gerolsteiner,",, 0:19",0,2006
34.0,35.769,31.0,+0:20,Simoni Gilberto,31,Lampre-Fondital,",, 0:19",0,2006
26.0,35.655,32.0,+0:21,Rogers Michael,32,T-Mobile Team,0:20 0:20,0,2006
34.0,35.541,33.0,+0:21,Horner Chris,33,Saunier Duval - Prodir,0:21 0:21,0,2006
40.0,35.541,34.0,+0:21,Ekimov Viatcheslav,34,Discovery Channel,",, 0:21",0,2006
27.0,35.541,35.0,+0:21,O'Loughlin David,35,Navigators Insurance Cycling Team,",, 0:21",0,2006
26.0,35.541,36.0,+0:22,Lang Sebastian,36,Gerolsteiner,",, 0:21",0,2006
28.0,35.541,37.0,+0:22,Gil Fernandez Koldo,37,,",, 0:21",0,2006
28.0,35.429,38.0,+0:22,Vogondy Nicolas,38,Cr\xe9dit Agricole,0:22 0:22,0,2006
30.0,35.429,39.0,+0:22,Jufre Josep,39,Davitamon - Lotto,",, 0:22",0,2006
26.0,35.429,40.0,+0:22,Pate Danny,40,Team TIAA-CREF,",, 0:22",0,2006
23.0,35.429,41.0,+0:23,Raisin Saul,41,Cr\xe9dit Agricole,",, 0:22",0,2006
28.0,35.316,42.0,+0:23,Jones Michael,42,Health Net Presented By Maxxis,0:23 0:23,0,2006
,35.316,43.0,+0:23,Grabowski Zachary,43,,",, 0:23",0,2006
28.0,35.316,44.0,+0:23,Kaggestad Mads,44,Cr\xe9dit Agricole,",, 0:23",0,2006
22.0,35.316,45.0,+0:23,Brajkovi\u010d Janez,45,Discovery Channel,",, 0:23",0,2006
30.0,35.316,46.0,+0:24,Walters Mark,46,Navigators Insurance Cycling Team,",, 0:23",0,2006
24.0,35.205,47.0,+0:24,Wren Tyler,47,Jamis/Sutter Home Pro Cycling Team,0:24 0:24,0,2006
28.0,35.205,48.0,+0:24,Johnson Tim,48,Health Net Presented By Maxxis,",, 0:24",0,2006
33.0,35.205,49.0,+0:25,Moos Alexandre,49,Phonak Hearing Systems,",, 0:24",0,2006
35.0,35.205,50.0,+0:25,Mccormack Mark,50,,",, 0:24",0,2006
29.0,35.205,51.0,+0:25,Pinotti Marco,51,Saunier Duval - Prodir,",, 0:24",0,2006
29.0,35.205,52.0,+0:25,Chadwick Glen,52,Navigators Insurance Cycling Team,",, 0:24",0,2006
28.0,35.094,53.0,+0:25,Olson Aaron,53,,0:25 0:25,0,2006
27.0,35.094,54.0,+0:26,Huff Charles Bradley,54,Team TIAA-CREF,",, 0:25",0,2006
21.0,34.984,55.0,+0:26,Lewis Craig,55,,0:26 0:26,0,2006
23.0,34.984,56.0,+0:26,Greipel Andr\xe9,56,T-Mobile Team,",, 0:26",0,2006
25.0,34.984,57.0,+0:26,Mertens Pieter,57,Davitamon - Lotto,",, 0:26",0,2006
24.0,34.984,58.0,+0:27,Rapinski Viktor,58,,",, 0:26",0,2006
32.0,34.984,59.0,+0:27,Jalabert Nicolas,59,Phonak Hearing Systems,",, 0:26",0,2006
36.0,34.984,60.0,+0:27,Moninger Scott,60,,",, 0:26",0,2006
25.0,34.984,61.0,+0:27,Hiekmann Torsten,61,Gerolsteiner,",, 0:26",0,2006
29.0,34.875,62.0,+0:27,Kobzarenko Valery,62,Navigators Insurance Cycling Team,0:27 0:27,0,2006
25.0,34.875,63.0,+0:27,G\xf3mez Marchante Jose Angel,63,Saunier Duval - Prodir,",, 0:27",0,2006
,34.875,64.0,+0:28,England Justin,64,,",, 0:27",0,2006
20.0,34.875,65.0,+0:28,Tolleson Taylor,65,Team TIAA-CREF,",, 0:27",0,2006
,34.766,66.0,+0:28,Herriot Todd,66,,0:28 0:28,0,2006
29.0,34.766,67.0,+0:28,Jensen Brian,67,,",, 0:28",0,2006
32.0,34.766,68.0,+0:29,Bajadali Andrew,68,,",, 0:28",0,2006
24.0,34.658,69.0,+0:30,Mccarty Jonathan Patrick,69,Phonak Hearing Systems,0:29 0:29,0,2006
32.0,34.551,70.0,+0:30,Korff Andre,70,T-Mobile Team,0:30 0:30,0,2006
33.0,34.551,71.0,+0:31,Garcia Jose Manuel,71,,",, 0:30",0,2006
32.0,34.551,72.0,+0:31,Pollack Olaf,72,T-Mobile Team,",, 0:30",0,2006
29.0,34.551,73.0,+0:31,Henderson Gregory,73,Health Net Presented By Maxxis,",, 0:30",0,2006
23.0,34.444,74.0,+0:32,Giling Bas,74,T-Mobile Team,0:31 0:31,0,2006
25.0,34.338,75.0,+0:32,Creed Michael,75,Team TIAA-CREF,0:32 0:32,0,2006
23.0,34.338,76.0,+0:32,Van Hecke Preben,76,Davitamon - Lotto,",, 0:32",0,2006
22.0,34.338,77.0,+0:32,Marino Jean-Marc,77,Cr\xe9dit Agricole,",, 0:32",0,2006
34.0,34.338,78.0,+0:33,Voigt Jens,78,CSC ProTeam,",, 0:32",0,2006
25.0,34.338,79.0,+0:33,Lagutin Sergey,79,Navigators Insurance Cycling Team,",, 0:32",0,2006
25.0,34.338,80.0,+0:33,Wegmann Fabian,80,Gerolsteiner,",, 0:32",0,2006
23.0,34.233000000000004,81.0,+0:33,Portal S\xe9bastien,81,Cr\xe9dit Agricole,0:33 0:33,0,2006
35.0,34.233000000000004,82.0,+0:33,Davidenko Vassili,82,Navigators Insurance Cycling Team,",, 0:33",0,2006
24.0,34.233000000000004,83.0,+0:33,Kohl Bernhard,83,T-Mobile Team,",, 0:33",0,2006
26.0,34.233000000000004,84.0,+0:34,Rice Matthew,84,,",, 0:33",0,2006
25.0,34.128,85.0,+0:34,Manion Caleb,85,,0:34 0:34,0,2006
27.0,34.128,86.0,+0:34,Frattini Davide,86,,",, 0:34",0,2006
28.0,34.128,87.0,+0:35,Zampieri Steve,87,Phonak Hearing Systems,",, 0:34",0,2006
23.0,34.024,88.0,+0:36,Friedman Michael,88,Team TIAA-CREF,0:35 0:35,0,2006
,33.921,89.0,+0:36,Dietrich Michael,89,,0:36 0:36,0,2006
23.0,33.921,90.0,+0:36,Krauss Sven,90,Gerolsteiner,",, 0:36",0,2006
34.0,33.921,91.0,+0:36,Cruz Antonio,91,,",, 0:36",0,2006
27.0,33.921,92.0,+0:36,Elmiger Martin,92,Phonak Hearing Systems,",, 0:36",0,2006
26.0,33.921,93.0,+0:37,Wamsley Kyle,93,,",, 0:36",0,2006
24.0,33.818000000000005,94.0,+0:37,Dockx Bart,94,Davitamon - Lotto,0:37 0:37,0,2006
38.0,33.818000000000005,95.0,+0:38,Artacho Gustavo,95,,",, 0:37",0,2006
32.0,33.818000000000005,96.0,+0:38,Perras Dominique,96,,",, 0:37",0,2006
26.0,33.716,97.0,+0:38,Bak Lars Ytting,97,CSC ProTeam,0:38 0:38,0,2006
25.0,33.514,98.0,+0:40,Haedo Juan Jose,98,,0:40 0:40,0,2006
28.0,33.514,99.0,+0:41,Zwizanski Scott,99,,",, 0:40",0,2006
22.0,33.413000000000004,100.0,+0:42,Euser Lucas,100,,0:41 0:41,0,2006
22.0,33.214,101.0,+0:44,Reistad Nick,101,,0:43 0:43,0,2006
23.0,33.116,102.0,+0:44,Patour Kilian,102,Cr\xe9dit Agricole,0:44 0:44,0,2006
25.0,33.116,103.0,+0:45,Stewart Jackson,103,,",, 0:44",0,2006
31.0,33.116,104.0,+0:45,Esparza Fausto Marcelino,104,,",, 0:44",0,2006
36.0,33.116,105.0,+0:45,Sayers Mike,105,Health Net Presented By Maxxis,",, 0:44",0,2006
26.0,33.116,106.0,+0:45,Brooks Benjamin,106,Navigators Insurance Cycling Team,",, 0:44",0,2006
30.0,33.018,107.0,+0:45,Candelario Alex,107,,0:45 0:45,0,2006
24.0,33.018,108.0,+0:45,Benitez Jos\xe9 Alberto,108,Saunier Duval - Prodir,",, 0:45",0,2006
36.0,32.824,109.0,+0:48,Gonzalez Domingo,109,,0:47 0:47,0,2006
19.0,32.536,110.0,+0:50,Peterson Tom,110,,0:50 0:50,0,2006
23.0,32.536,111.0,+0:51,Gilbert Martin,111,,",, 0:50",0,2006
31.0,32.442,112.0,+0:51,Friedick Mariano,112,,0:51 0:51,0,2006
,32.442,113.0,+0:51,Albers Kirk,113,,",, 0:51",0,2006
,32.348,114.0,+0:52,Jones Brice,114,,0:52 0:52,0,2006
26.0,32.348,115.0,+0:52,Davis Scott,115,T-Mobile Team,",, 0:52",0,2006
26.0,32.254,116.0,+0:54,Lopinto Peter,116,,0:53 0:53,0,2006
27.0,32.161,117.0,+0:54,Aldape Antonio,117,,0:54 0:54,0,2006
22.0,32.161,118.0,+0:54,Rabon Frantisek,118,T-Mobile Team,",, 0:54",0,2006
,31.705,119.0,+0:59,Robinson David,119,,0:59 0:59,0,2006
29.0,31.705,120.0,+0:59,Dominguez Ivan,120,,",, 0:59",0,2006
27.0,31.705,121.0,+0:59,Lam Arquimedes,121,,",, 0:59",0,2006
26.0,31.615,122.0,+1:01,Dionne Charles,122,,1:00 1:00,0,2006
,31.261,123.0,+1:05,Hernandez Manuel,123,,1:04 1:04,0,2006
28.0,30.829,124.0,+1:09,Ramos Florencio,124,,1:09 1:09,0,2006
22.0,30.491999999999997,125.0,+1:13,Kaisen Olivier,125,Davitamon - Lotto,1:13 1:13,0,2006
28.0,30.244,126.0,+1:16,Meza Miguel Angel,126,,1:16 1:16,0,2006
31.0,29.445999999999998,127.0,+1:27,Zarate Jesus,127,,1:26 1:26,0,2006
25.0,,69.0,+0:30,Haedo Juan Jose,1,,3:14:13 3:14:13,1,2006
32.0,,47.0,+0:25,Pollack Olaf,2,T-Mobile Team,",, ,,",1,2006
32.0,,13.0,+0:12,O'Grady Stuart,3,CSC ProTeam,",, ,,",1,2006
27.0,,53.0,+0:26,Huff Charles Bradley,4,Team TIAA-CREF,",, ,,",1,2006
32.0,,3.0,+0:06,Hincapie George,5,Discovery Channel,",, ,,",1,2006
24.0,,57.0,+0:27,Rapinski Viktor,6,,",, ,,",1,2006
28.0,,19.0,+0:17,Haselbacher Rene,7,Gerolsteiner,",, ,,",1,2006
27.0,,88.0,+0:36,Elmiger Martin,8,Phonak Hearing Systems,",, ,,",1,2006
34.0,,87.0,+0:36,Cruz Antonio,9,,",, ,,",1,2006
34.0,,2.0,+0:05,Julich Bobby,10,CSC ProTeam,",, ,,",1,2006
36.0,,99.0,+0:45,Sayers Mike,11,Health Net Presented By Maxxis,",, ,,",1,2006
30.0,,101.0,+0:45,Candelario Alex,12,,",, ,,",1,2006
26.0,,112.0,+1:01,Dionne Charles,13,,",, ,,",1,2006
35.0,,49.0,+0:25,Mccormack Mark,14,,",, ,,",1,2006
23.0,,9.0,+0:11,Gusev Vladimir,15,Discovery Channel,",, ,,",1,2006
26.0,,89.0,+0:37,Wamsley Kyle,16,,",, ,,",1,2006
33.0,,48.0,+0:25,Moos Alexandre,17,Phonak Hearing Systems,",, ,,",1,2006
26.0,,108.0,+0:52,Davis Scott,18,T-Mobile Team,",, ,,",1,2006
23.0,,55.0,+0:26,Greipel Andr\xe9,19,T-Mobile Team,",, ,,",1,2006
25.0,,8.0,+0:11,Roulston Hayden,20,Health Net Presented By Maxxis,",, ,,",1,2006
29.0,,61.0,+0:27,Kobzarenko Valery,21,Navigators Insurance Cycling Team,",, ,,",1,2006
32.0,,1.0,+0:00,Leipheimer Levi,22,Gerolsteiner,",, ,,",1,2006
26.0,,81.0,+0:34,Rice Matthew,23,,",, ,,",1,2006
34.0,,33.0,+0:21,Horner Chris,24,Saunier Duval - Prodir,",, ,,",1,2006
30.0,,26.0,+0:18,Barry Michael,25,Discovery Channel,",, ,,",1,2006
26.0,,39.0,+0:22,Pate Danny,26,Team TIAA-CREF,",, ,,",1,2006
32.0,,10.0,+0:11,Savoldelli Paolo,27,Discovery Channel,",, ,,",1,2006
27.0,,5.0,+0:09,Zabriskie David,28,CSC ProTeam,",, ,,",1,2006
29.0,,12.0,+0:12,Evans Cadel,29,Davitamon - Lotto,",, ,,",1,2006
23.0,,73.0,+0:32,Giling Bas,30,T-Mobile Team,",, ,,",1,2006
32.0,,58.0,+0:27,Jalabert Nicolas,31,Phonak Hearing Systems,",, ,,",1,2006
23.0,,84.0,+0:36,Friedman Michael,32,Team TIAA-CREF,",, ,,",1,2006
27.0,,17.0,+0:15,Jacques-Maynes Benjamin,33,,",, ,,",1,2006
27.0,,30.0,+0:20,Kopp David,34,Gerolsteiner,",, ,,",1,2006
23.0,,79.0,+0:33,Portal S\xe9bastien,35,Cr\xe9dit Agricole,",, ,,",1,2006
27.0,,11.0,+0:12,Danielson Thomas,36,Discovery Channel,",, ,,",1,2006
31.0,,98.0,+0:45,Esparza Fausto Marcelino,37,,",, ,,",1,2006
34.0,,77.0,+0:33,Voigt Jens,38,CSC ProTeam,",, ,,",1,2006
32.0,,70.0,+0:30,Korff Andre,39,T-Mobile Team,",, ,,",1,2006
29.0,,22.0,+0:17,Vande Velde Christian,40,CSC ProTeam,",, ,,",1,2006
22.0,,43.0,+0:23,Brajkovi\u010d Janez,41,Discovery Channel,",, ,,",1,2006
24.0,,45.0,+0:24,Wren Tyler,42,Jamis/Sutter Home Pro Cycling Team,",, ,,",1,2006
32.0,,92.0,+0:38,Perras Dominique,43,,",, ,,",1,2006
26.0,,32.0,+0:21,Rogers Michael,44,T-Mobile Team,",, ,,",1,2006
37.0,,18.0,+0:16,Fraser Gordon,45,Health Net Presented By Maxxis,",, ,,",1,2006
28.0,,36.0,+0:22,Gil Fernandez Koldo,46,,",, ,,",1,2006
23.0,,40.0,+0:23,Raisin Saul,47,Cr\xe9dit Agricole,",, ,,",1,2006
,,107.0,+0:52,Jones Brice,48,,",, ,,",1,2006
33.0,,23.0,+0:17,Martin Perdiguero Miguel Angel,49,Phonak Hearing Systems,",, ,,",1,2006
30.0,,4.0,+0:06,Landis Floyd,50,Phonak Hearing Systems,",, ,,",1,2006
20.0,,64.0,+0:28,Tolleson Taylor,51,Team TIAA-CREF,",, ,,",1,2006
23.0,,20.0,+0:17,Pauriol R\xe9mi,52,Cr\xe9dit Agricole,",, ,,",1,2006
23.0,,97.0,+0:44,Patour Kilian,53,Cr\xe9dit Agricole,",, ,,",1,2006
40.0,,34.0,+0:21,Ekimov Viatcheslav,54,Discovery Channel,",, ,,",1,2006
28.0,,42.0,+0:23,Kaggestad Mads,55,Cr\xe9dit Agricole,",, ,,",1,2006
26.0,,93.0,+0:38,Bak Lars Ytting,56,CSC ProTeam,",, ,,",1,2006
32.0,,7.0,+0:10,McCartney Jason,57,Discovery Channel,",, ,,",1,2006
32.0,,67.0,+0:29,Bajadali Andrew,58,,",, ,,",1,2006
25.0,,56.0,+0:26,Mertens Pieter,59,Davitamon - Lotto,",, ,,",1,2006
24.0,,80.0,+0:33,Kohl Bernhard,60,T-Mobile Team,",, ,,",1,2006
30.0,,44.0,+0:24,Walters Mark,61,Navigators Insurance Cycling Team,",, ,,",1,2006
28.0,,14.0,+0:14,Hunter Robert,62,Phonak Hearing Systems,",, ,,",1,2006
25.0,,60.0,+0:27,Hiekmann Torsten,63,Gerolsteiner,",, ,,",1,2006
23.0,,104.0,+0:51,Gilbert Martin,64,,",, ,,",1,2006
24.0,,68.0,+0:30,Mccarty Jonathan Patrick,65,Phonak Hearing Systems,",, ,,",1,2006
28.0,,46.0,+0:24,Johnson Tim,66,Health Net Presented By Maxxis,",, ,,",1,2006
31.0,,105.0,+0:51,Friedick Mariano,67,,",, ,,",1,2006
,,63.0,+0:28,England Justin,68,,",, ,,",1,2006
22.0,,96.0,+0:44,Reistad Nick,69,,",, ,,",1,2006
22.0,,110.0,+0:54,Rabon Frantisek,70,T-Mobile Team,",, ,,",1,2006
26.0,,28.0,+0:19,Zajicek Philip,71,Navigators Insurance Cycling Team,",, ,,",1,2006
,,41.0,+0:23,Grabowski Zachary,72,,",, ,,",1,2006
30.0,,27.0,+0:18,Kroon Karsten,73,CSC ProTeam,",, ,,",1,2006
30.0,,38.0,+0:22,Jufre Josep,74,Davitamon - Lotto,",, ,,",1,2006
25.0,,78.0,+0:33,Lagutin Sergey,75,Navigators Insurance Cycling Team,",, ,,",1,2006
29.0,,50.0,+0:25,Pinotti Marco,76,Saunier Duval - Prodir,",, ,,",1,2006
30.0,,24.0,+0:17,Baldwin Christopher,77,,",, ,,",1,2006
,,65.0,+0:28,Herriot Todd,78,,",, ,,",1,2006
29.0,,66.0,+0:28,Jensen Brian,79,,",, ,,",1,2006
31.0,,25.0,+0:17,O'Neill Nathan,80,Health Net Presented By Maxxis,",, ,,",1,2006
33.0,,71.0,+0:31,Garcia Jose Manuel,81,,",, ,,",1,2006
23.0,,86.0,+0:36,Krauss Sven,82,Gerolsteiner,",, ,,",1,2006
26.0,,109.0,+0:54,Lopinto Peter,83,,",, ,,",1,2006
22.0,,21.0,+0:17,Ricco Riccardo,84,,",, ,,",1,2006
36.0,,59.0,+0:27,Moninger Scott,85,,",, ,,",1,2006
28.0,,83.0,+0:35,Zampieri Steve,86,Phonak Hearing Systems,",, ,,",1,2006
24.0,,102.0,+0:45,Benitez Jos\xe9 Alberto,87,Saunier Duval - Prodir,",, ,,",1,2006
25.0,,15.0,+0:14,Blackgrove Heath,88,,",, ,,",1,2006
27.0,,111.0,+0:59,Lam Arquimedes,89,,",, ,,",1,2006
32.0,,16.0,+0:14,Rodriguez Fred,90,Davitamon - Lotto,",, ,,",1,2006
28.0,,52.0,+0:25,Olson Aaron,91,,",, ,,",1,2006
26.0,,35.0,+0:22,Lang Sebastian,92,Gerolsteiner,",, ,,",1,2006
25.0,,62.0,+0:27,G\xf3mez Marchante Jose Angel,93,Saunier Duval - Prodir,",, ,,",1,2006
25.0,,74.0,+0:32,Creed Michael,94,Team TIAA-CREF,",, ,,",1,2006
22.0,,95.0,+0:42,Euser Lucas,95,,",, ,,",1,2006
19.0,,103.0,+0:50,Peterson Tom,96,,",, ,,",1,2006
38.0,,91.0,+0:38,Artacho Gustavo,97,,",, ,,",1,2006
29.0,,51.0,+0:25,Chadwick Glen,98,Navigators Insurance Cycling Team,",, ,,",1,2006
23.0,,75.0,+0:32,Van Hecke Preben,99,Davitamon - Lotto,",, ,,",1,2006
21.0,,54.0,+0:26,Lewis Craig,100,,",, ,,",1,2006
33.0,,29.0,+0:20,H\xf8j Frank,101,Gerolsteiner,",, ,,",1,2006
24.0,,90.0,+0:37,Dockx Bart,102,Davitamon - Lotto,",, ,,",1,2006
28.0,,94.0,+0:41,Zwizanski Scott,103,,",, ,,",1,2006
