Age,Avg,GC,GC-Time,Rider,Rnk,Team,Time,stage,year
29.0,,72.0,+0:31,Henderson Gregory,104,Health Net Presented By Maxxis,",, ,,",1,2006
28.0,,37.0,+0:22,Vogondy Nicolas,105,Cr\xe9dit Agricole,",, ,,",1,2006
34.0,,31.0,+0:20,Simoni Gilberto,106,Lampre-Fondital,",, ,,",1,2006
,,106.0,+0:51,Albers Kirk,107,,",, ,,",1,2006
22.0,,76.0,+0:32,Marino Jean-Marc,108,Cr\xe9dit Agricole,",, ,,",1,2006
25.0,,82.0,+0:34,Manion Caleb,109,,",, ,,",1,2006
,,85.0,+0:36,Dietrich Michael,110,,",, ,,",1,2006
26.0,,100.0,+0:45,Brooks Benjamin,111,Navigators Insurance Cycling Team,",, ,,",1,2006
29.0,,114.0,+1:28,Dominguez Ivan,112,,0:29 0:29,1,2006
27.0,,113.0,+1:03,O'Loughlin David,113,Navigators Insurance Cycling Team,0:42 0:42,1,2006
35.0,,115.0,+1:29,Davidenko Vassili,114,Navigators Insurance Cycling Team,0:56 0:56,1,2006
24.0,,6.0,+0:10,Cancellara Fabian,115,CSC ProTeam,",, 0:56",1,2006
28.0,,116.0,+1:58,Jones Michael,116,Health Net Presented By Maxxis,1:35 1:35,1,2006
25.0,,118.0,+3:39,Stewart Jackson,117,,2:54 2:54,1,2006
27.0,,117.0,+3:28,Frattini Davide,118,,",, 2:54",1,2006
,,119.0,+4:15,Robinson David,119,,3:16 3:16,1,2006
36.0,,121.0,+7:45,Gonzalez Domingo,120,,6:57 6:57,1,2006
28.0,,123.0,+8:06,Ramos Florencio,121,,",, 6:57",1,2006
31.0,,124.0,+8:24,Zarate Jesus,122,,",, 6:57",1,2006
27.0,,122.0,+7:51,Aldape Antonio,123,,",, 6:57",1,2006
25.0,,120.0,+7:36,Wegmann Fabian,124,Gerolsteiner,7:03 7:03,1,2006
22.0,,125.0,+9:24,Kaisen Olivier,125,Davitamon - Lotto,8:11 8:11,1,2006
,,126.0,+12:50,Hernandez Manuel,126,,11:45 11:45,1,2006
28.0,,127.0,+13:01,Meza Miguel Angel,127,,",, 11:45",1,2006
32.0,,1.0,+0:00,Hincapie George,1,Discovery Channel,4:01:26 4:01:26,2,2006
34.0,,7.0,+0:19,Horner Chris,2,Saunier Duval - Prodir,",, ,,",2,2006
30.0,,11.0,+0:22,Jufre Josep,3,Davitamon - Lotto,",, ,,",2,2006
32.0,,2.0,+0:04,Leipheimer Levi,4,Gerolsteiner,",, ,,",2,2006
34.0,,3.0,+0:09,Julich Bobby,5,CSC ProTeam,",, ,,",2,2006
29.0,,6.0,+0:16,Evans Cadel,6,Davitamon - Lotto,",, ,,",2,2006
30.0,,4.0,+0:10,Landis Floyd,7,Phonak Hearing Systems,",, ,,",2,2006
34.0,,13.0,+0:24,Simoni Gilberto,8,Lampre-Fondital,",, ,,",2,2006
27.0,,5.0,+0:13,Zabriskie David,9,CSC ProTeam,",, ,,",2,2006
28.0,,17.0,+0:26,Vogondy Nicolas,10,Cr\xe9dit Agricole,",, ,,",2,2006
29.0,,9.0,+0:21,Vande Velde Christian,11,CSC ProTeam,",, ,,",2,2006
30.0,,10.0,+0:22,Barry Michael,12,Discovery Channel,",, ,,",2,2006
26.0,,14.0,+0:24,Zajicek Philip,13,Navigators Insurance Cycling Team,0:01 0:01,2,2006
22.0,,15.0,+0:24,Ricco Riccardo,14,,0:03 0:03,2,2006
25.0,,20.0,+0:35,G\xf3mez Marchante Jose Angel,15,Saunier Duval - Prodir,0:04 0:04,2,2006
23.0,,16.0,+0:25,Pauriol R\xe9mi,16,Cr\xe9dit Agricole,",, 0:04",2,2006
24.0,,21.0,+0:41,Kohl Bernhard,17,T-Mobile Team,",, 0:04",2,2006
31.0,,18.0,+0:26,O'Neill Nathan,18,Health Net Presented By Maxxis,0:05 0:05,2,2006
27.0,,8.0,+0:21,Danielson Thomas,19,Discovery Channel,",, 0:05",2,2006
23.0,,19.0,+0:33,Raisin Saul,20,Cr\xe9dit Agricole,0:06 0:06,2,2006
32.0,,12.0,+0:23,McCartney Jason,21,Discovery Channel,0:09 0:09,2,2006
33.0,,22.0,+0:43,Moos Alexandre,22,Phonak Hearing Systems,0:14 0:14,2,2006
22.0,,42.0,+4:04,Euser Lucas,23,,3:18 3:18,2,2006
27.0,,61.0,+6:51,Frattini Davide,24,,3:19 3:19,2,2006
25.0,,33.0,+3:50,Hiekmann Torsten,25,Gerolsteiner,",, 3:19",2,2006
28.0,,43.0,+4:05,Gil Fernandez Koldo,26,,",, 3:19",2,2006
27.0,,40.0,+3:59,Elmiger Martin,27,Phonak Hearing Systems,",, 3:19",2,2006
30.0,,27.0,+3:42,Kroon Karsten,28,CSC ProTeam,3:20 3:20,2,2006
25.0,,34.0,+3:50,Mertens Pieter,29,Davitamon - Lotto,",, 3:20",2,2006
28.0,,29.0,+3:43,Kaggestad Mads,30,Cr\xe9dit Agricole,",, 3:20",2,2006
27.0,,23.0,+3:35,Jacques-Maynes Benjamin,31,,",, 3:20",2,2006
40.0,,30.0,+3:45,Ekimov Viatcheslav,32,Discovery Channel,",, 3:20",2,2006
19.0,,44.0,+4:14,Peterson Tom,33,,",, 3:20",2,2006
29.0,,35.0,+3:51,Kobzarenko Valery,34,Navigators Insurance Cycling Team,",, 3:20",2,2006
28.0,,41.0,+4:00,Zampieri Steve,35,Phonak Hearing Systems,3:21 3:21,2,2006
25.0,,26.0,+3:39,Blackgrove Heath,36,,",, 3:21",2,2006
32.0,,24.0,+3:36,Savoldelli Paolo,37,Discovery Channel,",, 3:21",2,2006
30.0,,28.0,+3:42,Baldwin Christopher,38,,",, 3:21",2,2006
29.0,,32.0,+3:50,Chadwick Glen,39,Navigators Insurance Cycling Team,",, 3:21",2,2006
26.0,,31.0,+3:47,Pate Danny,40,Team TIAA-CREF,",, 3:21",2,2006
24.0,,39.0,+3:55,Mccarty Jonathan Patrick,41,Phonak Hearing Systems,",, 3:21",2,2006
32.0,,36.0,+3:52,Jalabert Nicolas,42,Phonak Hearing Systems,",, 3:21",2,2006
25.0,,25.0,+3:37,Roulston Hayden,43,Health Net Presented By Maxxis,3:22 3:22,2,2006
25.0,,38.0,+3:54,Creed Michael,44,Team TIAA-CREF,",, 3:22",2,2006
36.0,,37.0,+3:54,Moninger Scott,45,,3:23 3:23,2,2006
20.0,,51.0,+5:50,Tolleson Taylor,46,Team TIAA-CREF,5:18 5:18,2,2006
21.0,,49.0,+5:48,Lewis Craig,47,,",, 5:18",2,2006
23.0,,50.0,+5:48,Greipel Andr\xe9,48,T-Mobile Team,",, 5:18",2,2006
28.0,,62.0,+7:21,Jones Michael,49,Health Net Presented By Maxxis,5:19 5:19,2,2006
29.0,,53.0,+5:51,Jensen Brian,50,,",, 5:19",2,2006
26.0,,59.0,+6:15,Davis Scott,51,T-Mobile Team,",, 5:19",2,2006
,,52.0,+5:51,Herriot Todd,52,,",, 5:19",2,2006
32.0,,56.0,+6:01,Perras Dominique,53,,",, 5:19",2,2006
29.0,,48.0,+5:48,Pinotti Marco,54,Saunier Duval - Prodir,",, 5:19",2,2006
22.0,,47.0,+5:47,Brajkovi\u010d Janez,55,Discovery Channel,5:20 5:20,2,2006
27.0,,60.0,+6:23,Lam Arquimedes,56,,",, 5:20",2,2006
23.0,,45.0,+5:35,Gusev Vladimir,57,Discovery Channel,",, 5:20",2,2006
34.0,,55.0,+6:00,Cruz Antonio,58,,",, 5:20",2,2006
25.0,,54.0,+5:59,Manion Caleb,59,,5:21 5:21,2,2006
24.0,,57.0,+6:02,Dockx Bart,60,Davitamon - Lotto,",, 5:21",2,2006
27.0,,58.0,+6:06,O'Loughlin David,61,Navigators Insurance Cycling Team,",, 5:21",2,2006
28.0,,46.0,+5:40,Hunter Robert,62,Phonak Hearing Systems,5:22 5:22,2,2006
26.0,,79.0,+10:04,Wamsley Kyle,63,,9:23 9:23,2,2006
23.0,,82.0,+10:11,Patour Kilian,64,Cr\xe9dit Agricole,",, 9:23",2,2006
34.0,,74.0,+10:01,Voigt Jens,65,CSC ProTeam,9:24 9:24,2,2006
24.0,,70.0,+9:52,Wren Tyler,66,Jamis/Sutter Home Pro Cycling Team,",, 9:24",2,2006
30.0,,69.0,+9:52,Walters Mark,67,Navigators Insurance Cycling Team,",, 9:24",2,2006
31.0,,83.0,+10:13,Esparza Fausto Marcelino,68,,",, 9:24",2,2006
23.0,,76.0,+10:01,Portal S\xe9bastien,69,Cr\xe9dit Agricole,",, 9:24",2,2006
31.0,,116.0,+17:53,Zarate Jesus,70,,9:25 9:25,2,2006
33.0,,65.0,+9:46,Martin Perdiguero Miguel Angel,71,Phonak Hearing Systems,",, 9:25",2,2006
23.0,,75.0,+10:01,Giling Bas,72,T-Mobile Team,",, 9:25",2,2006
32.0,,64.0,+9:42,O'Grady Stuart,73,CSC ProTeam,9:26 9:26,2,2006
24.0,,63.0,+9:40,Cancellara Fabian,74,CSC ProTeam,",, 9:26",2,2006
26.0,,84.0,+10:15,Brooks Benjamin,75,Navigators Insurance Cycling Team,",, 9:26",2,2006
32.0,,73.0,+10:00,Korff Andre,76,T-Mobile Team,",, 9:26",2,2006
28.0,,81.0,+10:11,Zwizanski Scott,77,,",, 9:26",2,2006
28.0,,66.0,+9:47,Haselbacher Rene,78,Gerolsteiner,",, 9:26",2,2006
32.0,,72.0,+10:00,Bajadali Andrew,79,,9:27 9:27,2,2006
26.0,,71.0,+9:53,Lang Sebastian,80,Gerolsteiner,",, 9:27",2,2006
23.0,,78.0,+10:03,Van Hecke Preben,81,Davitamon - Lotto,",, 9:27",2,2006
27.0,,67.0,+9:51,Kopp David,82,Gerolsteiner,",, 9:27",2,2006
22.0,,77.0,+10:02,Marino Jean-Marc,83,Cr\xe9dit Agricole,9:28 9:28,2,2006
25.0,,80.0,+10:05,Lagutin Sergey,84,Navigators Insurance Cycling Team,",, 9:28",2,2006
33.0,,68.0,+9:52,H\xf8j Frank,85,Gerolsteiner,",, 9:28",2,2006
36.0,,104.0,+15:07,Sayers Mike,86,Health Net Presented By Maxxis,14:18 14:18,2,2006
23.0,,98.0,+14:58,Friedman Michael,87,Team TIAA-CREF,",, 14:18",2,2006
25.0,,117.0,+17:58,Stewart Jackson,88,,",, 14:18",2,2006
35.0,,115.0,+15:51,Davidenko Vassili,89,Navigators Insurance Cycling Team,",, 14:18",2,2006
26.0,,110.0,+15:17,Lopinto Peter,90,,14:19 14:19,2,2006
25.0,,118.0,+21:59,Wegmann Fabian,91,Gerolsteiner,",, 14:19",2,2006
28.0,,88.0,+14:47,Johnson Tim,92,Health Net Presented By Maxxis,",, 14:19",2,2006
22.0,,111.0,+15:17,Rabon Frantisek,93,T-Mobile Team,",, 14:19",2,2006
,,108.0,+15:14,Albers Kirk,94,,",, 14:19",2,2006
,,100.0,+14:59,Dietrich Michael,95,,",, 14:19",2,2006
26.0,,114.0,+15:25,Dionne Charles,96,,14:20 14:20,2,2006
,,93.0,+14:52,England Justin,97,,",, 14:20",2,2006
23.0,,101.0,+15:00,Krauss Sven,98,Gerolsteiner,",, 14:20",2,2006
24.0,,89.0,+14:51,Rapinski Viktor,99,,",, 14:20",2,2006
24.0,,106.0,+15:09,Benitez Jos\xe9 Alberto,100,Saunier Duval - Prodir,",, 14:20",2,2006
32.0,,85.0,+14:38,Rodriguez Fred,101,Davitamon - Lotto,14:21 14:21,2,2006
31.0,,109.0,+15:16,Friedick Mariano,102,,",, 14:21",2,2006
22.0,,105.0,+15:09,Reistad Nick,103,,",, 14:21",2,2006
26.0,,87.0,+14:46,Rogers Michael,104,T-Mobile Team,",, 14:21",2,2006
27.0,,91.0,+14:51,Huff Charles Bradley,105,Team TIAA-CREF,",, 14:21",2,2006
32.0,,90.0,+14:51,Pollack Olaf,106,T-Mobile Team,14:22 14:22,2,2006
37.0,,86.0,+14:42,Fraser Gordon,107,Health Net Presented By Maxxis,",, 14:22",2,2006
,,112.0,+15:18,Jones Brice,108,,",, 14:22",2,2006
26.0,,102.0,+15:01,Rice Matthew,109,,14:23 14:23,2,2006
29.0,,97.0,+14:58,Henderson Gregory,110,Health Net Presented By Maxxis,",, 14:23",2,2006
33.0,,96.0,+14:58,Garcia Jose Manuel,111,,",, 14:23",2,2006
30.0,,107.0,+15:12,Candelario Alex,112,,",, 14:23",2,2006
28.0,,94.0,+14:52,Olson Aaron,113,,",, 14:23",2,2006
35.0,,95.0,+14:53,Mccormack Mark,114,,14:24 14:24,2,2006
,,92.0,+14:51,Grabowski Zachary,115,,",, 14:24",2,2006
23.0,,113.0,+15:19,Gilbert Martin,116,,",, 14:24",2,2006
25.0,,99.0,+14:58,Haedo Juan Jose,117,,",, 14:24",2,2006
26.0,,103.0,+15:06,Bak Lars Ytting,118,CSC ProTeam,",, 14:24",2,2006
,,119.0,+22:29,Robinson David,119,,18:10 18:10,2,2006
38.0,,120.0,+23:56,Artacho Gustavo,120,,23:14 23:14,2,2006
36.0,,121.0,+32:08,Gonzalez Domingo,121,,24:19 24:19,2,2006
28.0,,,+ -7:20:28,Meza Miguel Angel,DNF,,",, 24:19",2,2006
29.0,,,+ -7:20:28,Dominguez Ivan,DNF,,",, 24:19",2,2006
28.0,,,+ -7:20:28,Ramos Florencio,DNF,,",, 24:19",2,2006
,,,+ -7:20:28,Hernandez Manuel,DNF,,",, 24:19",2,2006
27.0,,,+ -7:20:28,Aldape Antonio,DNF,,",, 24:19",2,2006
22.0,,,+ -7:20:28,Kaisen Olivier,HD,Davitamon - Lotto,",, 24:19",2,2006
30.0,45.708999999999996,1.0,+0:00,Landis Floyd,1,Phonak Hearing Systems,35:58 35:58,3,2006
27.0,45.18600000000001,2.0,+0:29,Zabriskie David,2,CSC ProTeam,0:25 0:25,3,2006
34.0,45.0,3.0,+0:34,Julich Bobby,3,CSC ProTeam,0:34 0:34,3,2006
32.0,44.573,4.0,+0:45,Hincapie George,4,Discovery Channel,0:55 0:55,3,2006
31.0,44.553000000000004,5.0,+1:08,O'Neill Nathan,5,Health Net Presented By Maxxis,0:56 0:56,3,2006
24.0,44.431999999999995,57.0,+10:30,Cancellara Fabian,6,CSC ProTeam,1:02 1:02,3,2006
23.0,44.431999999999995,30.0,+6:26,Gusev Vladimir,7,Discovery Channel,",, 1:02",3,2006
25.0,44.333,22.0,+4:31,Roulston Hayden,8,Health Net Presented By Maxxis,1:07 1:07,3,2006
32.0,44.153999999999996,6.0,+1:10,Leipheimer Levi,9,Gerolsteiner,1:16 1:16,3,2006
29.0,44.036,7.0,+1:29,Evans Cadel,10,Davitamon - Lotto,1:22 1:22,3,2006
28.0,43.918,37.0,+6:55,Hunter Robert,11,Phonak Hearing Systems,1:28 1:28,3,2006
27.0,43.646,8.0,+1:49,Danielson Thomas,12,Discovery Channel,1:42 1:42,3,2006
29.0,43.626999999999995,9.0,+1:55,Vande Velde Christian,13,CSC ProTeam,1:43 1:43,3,2006
32.0,43.607,10.0,+1:58,McCartney Jason,14,Discovery Channel,1:44 1:44,3,2006
40.0,43.568999999999996,23.0,+5:20,Ekimov Viatcheslav,15,Discovery Channel,1:46 1:46,3,2006
32.0,43.568999999999996,61.0,+11:16,O'Grady Stuart,16,CSC ProTeam,",, 1:46",3,2006
24.0,43.55,12.0,+2:15,Kohl Bernhard,17,T-Mobile Team,1:47 1:47,3,2006
28.0,43.358000000000004,11.0,+2:14,Vogondy Nicolas,18,Cr\xe9dit Agricole,1:57 1:57,3,2006
22.0,43.301,39.0,+7:36,Brajkovi\u010d Janez,19,Discovery Channel,2:00 2:00,3,2006
26.0,43.282,86.0,+16:52,Bak Lars Ytting,20,CSC ProTeam,2:01 2:01,3,2006
34.0,43.206,63.0,+11:56,Voigt Jens,21,CSC ProTeam,2:05 2:05,3,2006
34.0,43.168,13.0,+2:17,Horner Chris,22,Saunier Duval - Prodir,2:07 2:07,3,2006
30.0,43.168,14.0,+2:20,Jufre Josep,23,Davitamon - Lotto,",, 2:07",3,2006
34.0,43.093,42.0,+8:00,Cruz Antonio,24,,2:11 2:11,3,2006
23.0,42.998999999999995,87.0,+17:04,Friedman Michael,25,Team TIAA-CREF,2:16 2:16,3,2006
26.0,42.98,85.0,+16:51,Rogers Michael,26,T-Mobile Team,2:17 2:17,3,2006
26.0,42.961999999999996,15.0,+2:32,Zajicek Philip,27,Navigators Insurance Cycling Team,2:18 2:18,3,2006
25.0,42.868,25.0,+5:50,Blackgrove Heath,28,,2:23 2:23,3,2006
26.0,42.794,64.0,+12:07,Lang Sebastian,29,Gerolsteiner,2:27 2:27,3,2006
25.0,42.775,109.0,+20:17,Stewart Jackson,30,,2:28 2:28,3,2006
33.0,42.757,89.0,+17:13,Garcia Jose Manuel,31,,2:29 2:29,3,2006
29.0,42.701,44.0,+8:10,Pinotti Marco,32,Saunier Duval - Prodir,2:32 2:32,3,2006
29.0,42.683,26.0,+6:11,Chadwick Glen,33,Navigators Insurance Cycling Team,2:33 2:33,3,2006
25.0,42.646,66.0,+12:26,Lagutin Sergey,34,Navigators Insurance Cycling Team,2:35 2:35,3,2006
23.0,42.536,16.0,+2:52,Pauriol R\xe9mi,35,Cr\xe9dit Agricole,2:41 2:41,3,2006
32.0,42.516999999999996,88.0,+17:08,Rodriguez Fred,36,Davitamon - Lotto,2:42 2:42,3,2006
30.0,42.498999999999995,27.0,+6:13,Baldwin Christopher,37,,2:43 2:43,3,2006
30.0,42.498999999999995,17.0,+2:56,Barry Michael,38,Discovery Channel,",, 2:43",3,2006
26.0,42.443999999999996,29.0,+6:21,Pate Danny,39,Team TIAA-CREF,2:46 2:46,3,2006
33.0,42.408,19.0,+3:22,Moos Alexandre,40,Phonak Hearing Systems,2:48 2:48,3,2006
31.0,42.335,92.0,+17:56,Friedick Mariano,41,,2:52 2:52,3,2006
23.0,42.317,18.0,+3:11,Raisin Saul,42,Cr\xe9dit Agricole,2:53 2:53,3,2006
27.0,42.262,28.0,+6:20,Jacques-Maynes Benjamin,43,,2:56 2:56,3,2006
,42.262,48.0,+8:37,Herriot Todd,44,,",, 2:56",3,2006
32.0,42.226000000000006,34.0,+6:38,Jalabert Nicolas,45,Phonak Hearing Systems,2:58 2:58,3,2006
25.0,42.226000000000006,33.0,+6:37,Mertens Pieter,46,Davitamon - Lotto,",, 2:58",3,2006
25.0,42.208,35.0,+6:39,Hiekmann Torsten,47,Gerolsteiner,2:59 2:59,3,2006
30.0,42.208,31.0,+6:30,Kroon Karsten,48,CSC ProTeam,",, 2:59",3,2006
25.0,42.19,20.0,+3:22,G\xf3mez Marchante Jose Angel,49,Saunier Duval - Prodir,3:00 3:00,3,2006
35.0,42.172,97.0,+18:43,Davidenko Vassili,50,Navigators Insurance Cycling Team,3:01 3:01,3,2006
32.0,42.082,90.0,+17:44,Pollack Olaf,51,T-Mobile Team,3:06 3:06,3,2006
32.0,42.04600000000001,32.0,+6:32,Savoldelli Paolo,52,Discovery Channel,3:08 3:08,3,2006
23.0,42.028,67.0,+12:59,Giling Bas,53,T-Mobile Team,3:09 3:09,3,2006
29.0,42.028,36.0,+6:49,Kobzarenko Valery,54,Navigators Insurance Cycling Team,",, 3:09",3,2006
23.0,41.957,69.0,+13:15,Patour Kilian,55,Cr\xe9dit Agricole,3:13 3:13,3,2006
24.0,41.92100000000001,91.0,+17:55,Rapinski Viktor,56,,3:15 3:15,3,2006
25.0,41.868,38.0,+6:59,Creed Michael,57,Team TIAA-CREF,3:18 3:18,3,2006
27.0,41.868,51.0,+9:12,O'Loughlin David,58,Navigators Insurance Cycling Team,",, 3:18",3,2006
28.0,41.778999999999996,93.0,+18:00,Johnson Tim,59,Health Net Presented By Maxxis,3:23 3:23,3,2006
28.0,41.673,94.0,+18:07,Olson Aaron,60,,3:29 3:29,3,2006
21.0,41.603,50.0,+9:12,Lewis Craig,61,,3:33 3:33,3,2006
36.0,41.585,120.0,+35:33,Gonzalez Domingo,62,,3:34 3:34,3,2006
22.0,41.498000000000005,70.0,+13:27,Marino Jean-Marc,63,Cr\xe9dit Agricole,3:39 3:39,3,2006
37.0,41.445,95.0,+18:11,Fraser Gordon,64,Health Net Presented By Maxxis,3:42 3:42,3,2006
20.0,41.341,53.0,+9:29,Tolleson Taylor,65,Team TIAA-CREF,3:48 3:48,3,2006
28.0,41.288999999999994,72.0,+13:50,Zwizanski Scott,66,,3:51 3:51,3,2006
29.0,41.255,96.0,+18:37,Henderson Gregory,67,Health Net Presented By Maxxis,3:53 3:53,3,2006
29.0,41.22,54.0,+9:36,Jensen Brian,68,,3:55 3:55,3,2006
22.0,41.169,21.0,+4:10,Ricco Riccardo,69,,3:58 3:58,3,2006
27.0,41.083,71.0,+13:41,Kopp David,70,Gerolsteiner,4:03 4:03,3,2006
28.0,41.083,60.0,+11:14,Jones Michael,71,Health Net Presented By Maxxis,",, 4:03",3,2006
36.0,41.083,40.0,+7:43,Moninger Scott,72,,",, 4:03",3,2006
28.0,40.998000000000005,43.0,+8:02,Gil Fernandez Koldo,73,,4:08 4:08,3,2006
23.0,40.896,73.0,+14:05,Portal S\xe9bastien,74,Cr\xe9dit Agricole,4:14 4:14,3,2006
24.0,40.845,55.0,+10:07,Dockx Bart,75,Davitamon - Lotto,4:17 4:17,3,2006
26.0,40.828,59.0,+11:09,Davis Scott,76,T-Mobile Team,4:18 4:18,3,2006
