Age,BIB,Pnt,Prev,Rider,Rnk,Team,UCI,\u25bc\u25b2,stage,year
27,186,2,,Phinney Taylor,1,Cannondale-Drapac Pro Cycling Team,,,2,2017
25,184,3,,Brown Nathan,1,Cannondale-Drapac Pro Cycling Team,,-,3,2017
27,111,2,,Sagan Peter,2,BORA - hansgrohe,,-,3,2017
27,186,2,1.0,Phinney Taylor,3,Cannondale-Drapac Pro Cycling Team,,\u25bc2,3,2017
23,128,2,,Politt Nils,4,Team Katusha - Alpecin,,-,3,2017
24,173,1,,Calmejane Lilian,5,Direct Energie,,-,3,2017
26,141,1,,Matthews Michael,6,Team Sunweb,,-,3,2017
25,184,3,1.0,Brown Nathan,1,Cannondale-Drapac Pro Cycling Team,,-,4,2017
27,111,2,2.0,Sagan Peter,2,BORA - hansgrohe,,-,4,2017
27,186,2,3.0,Phinney Taylor,3,Cannondale-Drapac Pro Cycling Team,,-,4,2017
23,128,2,4.0,Politt Nils,4,Team Katusha - Alpecin,,-,4,2017
24,173,1,5.0,Calmejane Lilian,5,Direct Energie,,-,4,2017
26,208,1,,van Keirsbulck Guillaume,6,Wanty - Groupe Gobert,,-,4,2017
26,141,1,6.0,Matthews Michael,7,Team Sunweb,,\u25bc1,4,2017
27,51,10,,Aru Fabio,1,Astana Pro Team,,-,5,2017
30,105,8,,Martin Daniel,2,Quick-Step Floors,,-,5,2017
32,1,6,,Froome Christopher,3,Team Sky,,-,5,2017
32,41,4,,Porte Richie,4,BMC Racing Team,,-,5,2017
25,184,3,1.0,Brown Nathan,5,Cannondale-Drapac Pro Cycling Team,,\u25bc4,5,2017
31,12,2,,Bakelants Jan,6,AG2R La Mondiale,,-,5,2017
27,186,2,3.0,Phinney Taylor,7,Cannondale-Drapac Pro Cycling Team,,\u25bc4,5,2017
23,128,2,4.0,Politt Nils,8,Team Katusha - Alpecin,,\u25bc4,5,2017
26,11,2,,Bardet Romain,9,AG2R La Mondiale,,-,5,2017
24,173,1,5.0,Calmejane Lilian,10,Direct Energie,,\u25bc5,5,2017
26,208,1,6.0,van Keirsbulck Guillaume,11,Wanty - Groupe Gobert,,\u25bc5,5,2017
24,89,1,,Yates Simon,12,ORICA-Scott,,-,5,2017
30,216,1,,Perichon Pierre-Luc,13,Fortuneo - Oscaro,,-,5,2017
26,141,1,7.0,Matthews Michael,14,Team Sunweb,,\u25bc7,5,2017
27,51,10,1.0,Aru Fabio,1,Astana Pro Team,,-,6,2017
30,105,8,2.0,Martin Daniel,2,Quick-Step Floors,,-,6,2017
32,1,6,3.0,Froome Christopher,3,Team Sky,,-,6,2017
32,41,4,4.0,Porte Richie,4,BMC Racing Team,,-,6,2017
25,184,3,5.0,Brown Nathan,5,Cannondale-Drapac Pro Cycling Team,,-,6,2017
31,12,2,6.0,Bakelants Jan,6,AG2R La Mondiale,,-,6,2017
33,177,2,,Quemeneur Perrig,7,Direct Energie,,-,6,2017
27,186,2,7.0,Phinney Taylor,8,Cannondale-Drapac Pro Cycling Team,,\u25bc1,6,2017
23,128,2,8.0,Politt Nils,9,Team Katusha - Alpecin,,\u25bc1,6,2017
26,11,2,9.0,Bardet Romain,10,AG2R La Mondiale,,\u25bc1,6,2017
24,173,1,10.0,Calmejane Lilian,11,Direct Energie,,\u25bc1,6,2017
26,208,1,11.0,van Keirsbulck Guillaume,12,Wanty - Groupe Gobert,,\u25bc1,6,2017
24,89,1,12.0,Yates Simon,13,ORICA-Scott,,\u25bc1,6,2017
26,141,1,14.0,Matthews Michael,14,Team Sunweb,,-,6,2017
30,216,1,13.0,Perichon Pierre-Luc,15,Fortuneo - Oscaro,,\u25bc2,6,2017
27,51,10,1.0,Aru Fabio,1,Astana Pro Team,,-,7,2017
30,105,8,2.0,Martin Daniel,2,Quick-Step Floors,,-,7,2017
32,1,6,3.0,Froome Christopher,3,Team Sky,,-,7,2017
32,41,4,4.0,Porte Richie,4,BMC Racing Team,,-,7,2017
26,184,3,5.0,Brown Nathan,5,Cannondale-Drapac Pro Cycling Team,,-,7,2017
31,12,2,6.0,Bakelants Jan,6,AG2R La Mondiale,,-,7,2017
33,177,2,7.0,Quemeneur Perrig,7,Direct Energie,,-,7,2017
27,186,2,8.0,Phinney Taylor,8,Cannondale-Drapac Pro Cycling Team,,-,7,2017
23,128,2,9.0,Politt Nils,9,Team Katusha - Alpecin,,-,7,2017
26,11,2,10.0,Bardet Romain,10,AG2R La Mondiale,,-,7,2017
24,173,1,11.0,Calmejane Lilian,11,Direct Energie,,-,7,2017
30,212,1,,Bouet Maxime,12,Fortuneo - Oscaro,,-,7,2017
26,208,1,12.0,van Keirsbulck Guillaume,13,Wanty - Groupe Gobert,,\u25bc1,7,2017
24,89,1,13.0,Yates Simon,14,ORICA-Scott,,\u25bc1,7,2017
26,141,1,14.0,Matthews Michael,15,Team Sunweb,,\u25bc1,7,2017
30,216,1,15.0,Perichon Pierre-Luc,16,Fortuneo - Oscaro,,\u25bc1,7,2017
24,173,11,11.0,Calmejane Lilian,1,Direct Energie,,\u25b210,8,2017
27,51,10,1.0,Aru Fabio,2,Astana Pro Team,,\u25bc1,8,2017
30,105,8,2.0,Martin Daniel,3,Quick-Step Floors,,\u25bc1,8,2017
31,161,8,,Gesink Robert,4,Team LottoNL-Jumbo,,-,8,2017
25,143,7,,Barguil Warren,5,Team Sunweb,,-,8,2017
32,1,6,3.0,Froome Christopher,6,Team Sky,,\u25bc3,8,2017
24,201,6,,Martin Guillaume,7,Wanty - Groupe Gobert,,-,8,2017
31,12,5,6.0,Bakelants Jan,8,AG2R La Mondiale,,\u25bc2,8,2017
33,96,5,,Pauwels Serge,9,Team Dimension Data,,-,8,2017
32,41,4,4.0,Porte Richie,10,BMC Racing Team,,\u25bc6,8,2017
33,46,4,,Roche Nicolas,11,BMC Racing Team,,-,8,2017
26,184,3,5.0,Brown Nathan,12,Cannondale-Drapac Pro Cycling Team,,\u25bc7,8,2017
33,177,2,7.0,Quemeneur Perrig,13,Direct Energie,,\u25bc6,8,2017
27,186,2,8.0,Phinney Taylor,14,Cannondale-Drapac Pro Cycling Team,,\u25bc6,8,2017
23,128,2,9.0,Politt Nils,15,Team Katusha - Alpecin,,\u25bc6,8,2017
26,11,2,10.0,Bardet Romain,16,AG2R La Mondiale,,\u25bc6,8,2017
30,212,1,12.0,Bouet Maxime,17,Fortuneo - Oscaro,,\u25bc5,8,2017
26,208,1,13.0,van Keirsbulck Guillaume,18,Wanty - Groupe Gobert,,\u25bc5,8,2017
24,89,1,14.0,Yates Simon,19,ORICA-Scott,,\u25bc5,8,2017
31,213,1,,Feillu Brice,20,Fortuneo - Oscaro,,-,8,2017
32,48,1,,Van Avermaet Greg,21,BMC Racing Team,,-,8,2017
26,141,1,15.0,Matthews Michael,22,Team Sunweb,,\u25bc7,8,2017
30,216,1,16.0,Perichon Pierre-Luc,23,Fortuneo - Oscaro,,\u25bc7,8,2017
25,143,60,5.0,Barguil Warren,1,Team Sunweb,,\u25b24,9,2017
27,166,30,,Roglic Primoz,2,Team LottoNL-Jumbo,,-,9,2017
29,19,27,,Vuillermoz Alexis,3,AG2R La Mondiale,,-,9,2017
30,105,23,3.0,Martin Daniel,4,Quick-Step Floors,,\u25bc1,9,2017
30,37,18,,Mollema Bauke,5,Trek - Segafredo,,-,9,2017
27,78,17,,Pinot Thibaut,6,FDJ,,-,9,2017
32,1,16,6.0,Froome Christopher,7,Team Sky,,\u25bc1,9,2017
23,133,15,,Benoot Tiesj,8,Lotto Soudal,,-,9,2017
27,51,14,2.0,Aru Fabio,9,Astana Pro Team,,\u25bc7,9,2017
32,53,12,,Fuglsang Jakob,10,Astana Pro Team,,-,9,2017
24,173,11,1.0,Calmejane Lilian,11,Direct Energie,,\u25bc10,9,2017
31,12,10,8.0,Bakelants Jan,12,AG2R La Mondiale,,\u25bc4,9,2017
26,11,8,16.0,Bardet Romain,13,AG2R La Mondiale,,\u25b23,9,2017
31,213,7,20.0,Feillu Brice,14,Fortuneo - Oscaro,,\u25b26,9,2017
24,201,6,7.0,Martin Guillaume,15,Wanty - Groupe Gobert,,\u25bc8,9,2017
28,38,6,,Pantano Jarlinson,16,Trek - Segafredo,,-,9,2017
33,96,5,9.0,Pauwels Serge,17,Team Dimension Data,,\u25bc8,9,2017
33,157,4,,Navarro Daniel,18,"Cofidis, Solutions Cr\xe9dits",,-,9,2017
33,46,4,11.0,Roche Nicolas,19,BMC Racing Team,,\u25bc8,9,2017
26,184,3,12.0,Brown Nathan,20,Cannondale-Drapac Pro Cycling Team,,\u25bc8,9,2017
30,134,3,,De Gendt Thomas,21,Lotto Soudal,,-,9,2017
26,141,3,22.0,Matthews Michael,22,Team Sunweb,,-,9,2017
26,139,3,,Wellens Tim,23,Lotto Soudal,,-,9,2017
33,177,2,13.0,Quemeneur Perrig,24,Direct Energie,,\u25bc11,9,2017
27,186,2,14.0,Phinney Taylor,25,Cannondale-Drapac Pro Cycling Team,,\u25bc11,9,2017
23,128,2,15.0,Politt Nils,26,Team Katusha - Alpecin,,\u25bc11,9,2017
30,188,2,,Uran Rigoberto,27,Cannondale-Drapac Pro Cycling Team,,-,9,2017
26,27,2,,Herrada Jes\xfas,28,Movistar Team,,-,9,2017
30,212,1,17.0,Bouet Maxime,29,Fortuneo - Oscaro,,\u25bc12,9,2017
26,208,1,18.0,van Keirsbulck Guillaume,30,Wanty - Groupe Gobert,,\u25bc12,9,2017
24,89,1,19.0,Yates Simon,31,ORICA-Scott,,\u25bc12,9,2017
24,57,1,,Lutsenko Alexey,32,Astana Pro Team,,-,9,2017
32,48,1,21.0,Van Avermaet Greg,33,BMC Racing Team,,\u25bc12,9,2017
30,216,1,23.0,Perichon Pierre-Luc,34,Fortuneo - Oscaro,,\u25bc11,9,2017
25,143,60,1.0,Barguil Warren,1,Team Sunweb,,-,10,2017
27,166,30,2.0,Roglic Primoz,2,Team LottoNL-Jumbo,,-,10,2017
29,19,27,3.0,Vuillermoz Alexis,3,AG2R La Mondiale,,-,10,2017
30,105,23,4.0,Martin Daniel,4,Quick-Step Floors,,-,10,2017
30,37,18,5.0,Mollema Bauke,5,Trek - Segafredo,,-,10,2017
27,78,17,6.0,Pinot Thibaut,6,FDJ,,-,10,2017
32,1,16,7.0,Froome Christopher,7,Team Sky,,-,10,2017
23,133,15,8.0,Benoot Tiesj,8,Lotto Soudal,,-,10,2017
27,51,14,9.0,Aru Fabio,9,Astana Pro Team,,-,10,2017
32,53,12,10.0,Fuglsang Jakob,10,Astana Pro Team,,-,10,2017
24,173,11,11.0,Calmejane Lilian,11,Direct Energie,,-,10,2017
31,12,10,12.0,Bakelants Jan,12,AG2R La Mondiale,,-,10,2017
26,11,8,13.0,Bardet Romain,13,AG2R La Mondiale,,-,10,2017
31,213,7,14.0,Feillu Brice,14,Fortuneo - Oscaro,,-,10,2017
24,201,6,15.0,Martin Guillaume,15,Wanty - Groupe Gobert,,-,10,2017
28,38,6,16.0,Pantano Jarlinson,16,Trek - Segafredo,,-,10,2017
33,96,5,17.0,Pauwels Serge,17,Team Dimension Data,,-,10,2017
33,157,4,18.0,Navarro Daniel,18,"Cofidis, Solutions Cr\xe9dits",,-,10,2017
33,46,4,19.0,Roche Nicolas,19,BMC Racing Team,,-,10,2017
26,184,3,20.0,Brown Nathan,20,Cannondale-Drapac Pro Cycling Team,,-,10,2017
30,134,3,21.0,De Gendt Thomas,21,Lotto Soudal,,-,10,2017
26,141,3,22.0,Matthews Michael,22,Team Sunweb,,-,10,2017
26,139,3,23.0,Wellens Tim,23,Lotto Soudal,,-,10,2017
33,177,2,24.0,Quemeneur Perrig,24,Direct Energie,,-,10,2017
22,214,2,,Gesbert Elie,25,Fortuneo - Oscaro,,-,10,2017
27,186,2,25.0,Phinney Taylor,26,Cannondale-Drapac Pro Cycling Team,,\u25bc1,10,2017
23,128,2,26.0,Politt Nils,27,Team Katusha - Alpecin,,\u25bc1,10,2017
30,188,2,27.0,Uran Rigoberto,28,Cannondale-Drapac Pro Cycling Team,,\u25bc1,10,2017
26,27,2,28.0,Herrada Jes\xfas,29,Movistar Team,,\u25bc1,10,2017
30,212,1,29.0,Bouet Maxime,30,Fortuneo - Oscaro,,\u25bc1,10,2017
26,208,1,30.0,van Keirsbulck Guillaume,31,Wanty - Groupe Gobert,,\u25bc1,10,2017
24,89,1,31.0,Yates Simon,32,ORICA-Scott,,\u25bc1,10,2017
32,48,1,33.0,Van Avermaet Greg,33,BMC Racing Team,,-,10,2017
24,57,1,32.0,Lutsenko Alexey,34,Astana Pro Team,,\u25bc2,10,2017
30,216,1,34.0,Perichon Pierre-Luc,35,Fortuneo - Oscaro,,\u25bc1,10,2017
25,143,60,1.0,Barguil Warren,1,Team Sunweb,,-,11,2017
27,166,30,2.0,Roglic Primoz,2,Team LottoNL-Jumbo,,-,11,2017
29,19,27,3.0,Vuillermoz Alexis,3,AG2R La Mondiale,,-,11,2017
30,105,23,4.0,Martin Daniel,4,Quick-Step Floors,,-,11,2017
30,37,18,5.0,Mollema Bauke,5,Trek - Segafredo,,-,11,2017
27,78,17,6.0,Pinot Thibaut,6,FDJ,,-,11,2017
32,1,16,7.0,Froome Christopher,7,Team Sky,,-,11,2017
23,133,15,8.0,Benoot Tiesj,8,Lotto Soudal,,-,11,2017
27,51,14,9.0,Aru Fabio,9,Astana Pro Team,,-,11,2017
32,53,12,10.0,Fuglsang Jakob,10,Astana Pro Team,,-,11,2017
24,173,11,11.0,Calmejane Lilian,11,Direct Energie,,-,11,2017
31,12,10,12.0,Bakelants Jan,12,AG2R La Mondiale,,-,11,2017
26,11,8,13.0,Bardet Romain,13,AG2R La Mondiale,,-,11,2017
31,213,7,14.0,Feillu Brice,14,Fortuneo - Oscaro,,-,11,2017
24,201,6,15.0,Martin Guillaume,15,Wanty - Groupe Gobert,,-,11,2017
28,38,6,16.0,Pantano Jarlinson,16,Trek - Segafredo,,-,11,2017
33,96,5,17.0,Pauwels Serge,17,Team Dimension Data,,-,11,2017
33,157,4,18.0,Navarro Daniel,18,"Cofidis, Solutions Cr\xe9dits",,-,11,2017
33,46,4,19.0,Roche Nicolas,19,BMC Racing Team,,-,11,2017
26,184,3,20.0,Brown Nathan,20,Cannondale-Drapac Pro Cycling Team,,-,11,2017
30,134,3,21.0,De Gendt Thomas,21,Lotto Soudal,,-,11,2017
26,141,3,22.0,Matthews Michael,22,Team Sunweb,,-,11,2017
26,139,3,23.0,Wellens Tim,23,Lotto Soudal,,-,11,2017
33,177,2,24.0,Quemeneur Perrig,24,Direct Energie,,-,11,2017
22,214,2,25.0,Gesbert Elie,25,Fortuneo - Oscaro,,-,11,2017
27,186,2,26.0,Phinney Taylor,26,Cannondale-Drapac Pro Cycling Team,,-,11,2017
23,128,2,27.0,Politt Nils,27,Team Katusha - Alpecin,,-,11,2017
30,188,2,28.0,Uran Rigoberto,28,Cannondale-Drapac Pro Cycling Team,,-,11,2017
26,27,2,29.0,Herrada Jes\xfas,29,Movistar Team,,-,11,2017
30,212,1,30.0,Bouet Maxime,30,Fortuneo - Oscaro,,-,11,2017
27,202,1,,Backaert Frederik,31,Wanty - Groupe Gobert,,-,11,2017
26,208,1,31.0,van Keirsbulck Guillaume,32,Wanty - Groupe Gobert,,\u25bc1,11,2017
24,89,1,32.0,Yates Simon,33,ORICA-Scott,,\u25bc1,11,2017
32,48,1,33.0,Van Avermaet Greg,34,BMC Racing Team,,\u25bc1,11,2017
24,57,1,34.0,Lutsenko Alexey,35,Astana Pro Team,,\u25bc1,11,2017
30,216,1,35.0,Perichon Pierre-Luc,36,Fortuneo - Oscaro,,\u25bc1,11,2017
25,143,70,1.0,Barguil Warren,1,Team Sunweb,,-,12,2017
30,134,32,21.0,De Gendt Thomas,2,Lotto Soudal,,\u25b219,12,2017
27,166,30,2.0,Roglic Primoz,3,Team LottoNL-Jumbo,,\u25bc1,12,2017
29,19,27,3.0,Vuillermoz Alexis,4,AG2R La Mondiale,,\u25bc1,12,2017
32,1,24,7.0,Froome Christopher,5,Team Sky,,\u25b22,12,2017
30,105,23,4.0,Martin Daniel,6,Quick-Step Floors,,\u25bc2,12,2017
36,93,20,,Cummings Stephen,7,Team Dimension Data,,-,12,2017
27,51,20,9.0,Aru Fabio,8,Astana Pro Team,,\u25b21,12,2017
30,37,18,5.0,Mollema Bauke,9,Trek - Segafredo,,\u25bc4,12,2017
27,78,17,6.0,Pinot Thibaut,10,FDJ,,\u25bc4,12,2017
33,7,16,,Nieve Mikel,11,Team Sky,,-,12,2017
26,141,16,22.0,Matthews Michael,12,Team Sunweb,,\u25b210,12,2017
26,11,15,13.0,Bardet Romain,13,AG2R La Mondiale,,-,12,2017
23,133,15,8.0,Benoot Tiesj,14,Lotto Soudal,,\u25bc6,12,2017
29,16,14,,Gautier Cyril,15,AG2R La Mondiale,,-,12,2017
27,6,13,,Landa Mikel,16,Team Sky,,-,12,2017
32,53,12,10.0,Fuglsang Jakob,17,Astana Pro Team,,\u25bc7,12,2017
24,173,11,11.0,Calmejane Lilian,18,Direct Energie,,\u25bc7,12,2017
31,12,10,12.0,Bakelants Jan,19,AG2R La Mondiale,,\u25bc7,12,2017
27,5,8,,Kwiatkowski Michal,20,Team Sky,,-,12,2017
31,213,7,14.0,Feillu Brice,21,Fortuneo - Oscaro,,\u25bc7,12,2017
31,159,7,,Simon Julien,22,"Cofidis, Solutions Cr\xe9dits",,-,12,2017
30,188,6,28.0,Uran Rigoberto,23,Cannondale-Drapac Pro Cycling Team,,\u25b25,12,2017
28,38,6,16.0,Pantano Jarlinson,24,Trek - Segafredo,,\u25bc8,12,2017
24,201,6,15.0,Martin Guillaume,25,Wanty - Groupe Gobert,,\u25bc10,12,2017
33,96,5,17.0,Pauwels Serge,26,Team Dimension Data,,\u25bc9,12,2017
33,46,4,19.0,Roche Nicolas,27,BMC Racing Team,,\u25bc8,12,2017
27,69,4,,Ulissi Diego,28,UAE Team Emirates,,-,12,2017
33,157,4,18.0,Navarro Daniel,29,"Cofidis, Solutions Cr\xe9dits",,\u25bc11,12,2017
26,184,3,20.0,Brown Nathan,30,Cannondale-Drapac Pro Cycling Team,,\u25bc10,12,2017
26,139,3,23.0,Wellens Tim,31,Lotto Soudal,,\u25bc8,12,2017
27,186,2,26.0,Phinney Taylor,32,Cannondale-Drapac Pro Cycling Team,,\u25bc6,12,2017
33,177,2,24.0,Quemeneur Perrig,33,Direct Energie,,\u25bc9,12,2017
22,214,2,25.0,Gesbert Elie,34,Fortuneo - Oscaro,,\u25bc9,12,2017
23,128,2,27.0,Politt Nils,35,Team Katusha - Alpecin,,\u25bc8,12,2017
34,32,2,,de Kort Koen,36,Trek - Segafredo,,-,12,2017
26,27,2,29.0,Herrada Jes\xfas,37,Movistar Team,,\u25bc8,12,2017
26,208,1,32.0,van Keirsbulck Guillaume,38,Wanty - Groupe Gobert,,\u25bc6,12,2017
27,202,1,31.0,Backaert Frederik,39,Wanty - Groupe Gobert,,\u25bc8,12,2017
30,212,1,30.0,Bouet Maxime,40,Fortuneo - Oscaro,,\u25bc10,12,2017
24,89,1,33.0,Yates Simon,41,ORICA-Scott,,\u25bc8,12,2017
33,26,1,,Erviti Imanol,42,Movistar Team,,-,12,2017
24,57,1,35.0,Lutsenko Alexey,43,Astana Pro Team,,\u25bc8,12,2017
30,216,1,36.0,Perichon Pierre-Luc,44,Fortuneo - Oscaro,,\u25bc8,12,2017
32,48,1,34.0,Van Avermaet Greg,45,BMC Racing Team,,\u25bc11,12,2017
25,143,94,1.0,Barguil Warren,1,Team Sunweb,,-,13,2017
27,6,33,16.0,Landa Mikel,2,Team Sky,,\u25b214,13,2017
30,134,32,2.0,De Gendt Thomas,3,Lotto Soudal,,\u25bc1,13,2017
27,166,30,3.0,Roglic Primoz,4,Team LottoNL-Jumbo,,\u25bc1,13,2017
29,19,28,4.0,Vuillermoz Alexis,5,AG2R La Mondiale,,\u25bc1,13,2017
32,1,25,5.0,Froome Christopher,6,Team Sky,,\u25bc1,13,2017
30,105,23,6.0,Martin Daniel,7,Quick-Step Floors,,\u25bc1,13,2017
27,51,22,8.0,Aru Fabio,8,Astana Pro Team,,-,13,2017
34,31,22,,Contador Alberto,9,Trek - Segafredo,,-,13,2017
36,93,20,7.0,Cummings Stephen,10,Team Dimension Data,,\u25bc3,13,2017
30,37,18,9.0,Mollema Bauke,11,Trek - Segafredo,,\u25bc2,13,2017
27,78,17,10.0,Pinot Thibaut,12,FDJ,,\u25bc2,13,2017
33,7,16,11.0,Nieve Mikel,13,Team Sky,,\u25bc2,13,2017
26,141,16,12.0,Matthews Michael,14,Team Sunweb,,\u25bc2,13,2017
26,11,15,13.0,Bardet Romain,15,AG2R La Mondiale,,\u25bc2,13,2017
23,133,15,14.0,Benoot Tiesj,16,Lotto Soudal,,\u25bc2,13,2017
29,16,14,15.0,Gautier Cyril,17,AG2R La Mondiale,,\u25bc2,13,2017
24,173,11,18.0,Calmejane Lilian,18,Direct Energie,,-,13,2017
31,43,10,,De Marchi Alessandro,19,BMC Racing Team,,-,13,2017
31,12,10,19.0,Bakelants Jan,20,AG2R La Mondiale,,\u25bc1,13,2017
