Age,BIB,GC,GC-Time,Prev,Rider,Rnk,Team,Time,\u25bc\u25b2,stage,year
25,61,8,+5:09,2.0,Meintjes Louis,2,UAE Team Emirates,3:07 3:07,-,15,2017
23,17,14,+13:41,3.0,Latour Pierre,3,AG2R La Mondiale,11:39 11:39,-,15,2017
24,113,17,+19:37,4.0,Buchmann Emanuel,4,BORA - hansgrohe,17:35 17:35,-,15,2017
24,201,20,+27:28,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,25:26 25:26,-,15,2017
23,133,21,+30:10,6.0,Benoot Tiesj,6,Lotto Soudal,28:08 28:08,-,15,2017
24,173,30,+55:24,7.0,Calmejane Lilian,7,Direct Energie,53:22 53:22,-,15,2017
25,58,65,+1:39:20,8.0,Valgren Michael,8,Astana Pro Team,1:37:18 1:37:18,-,15,2017
23,182,74,+1:44:22,10.0,Bettiol Alberto,9,Cannondale-Drapac Pro Cycling Team,1:42:20 1:42:20,\u25b21,15,2017
23,44,81,+1:50:11,9.0,K\xfcng Stefan,10,BMC Racing Team,1:48:09 1:48:09,\u25bc1,15,2017
25,189,86,+1:53:57,15.0,van Baarle Dylan,11,Cannondale-Drapac Pro Cycling Team,1:51:55 1:51:55,\u25b24,15,2017
24,57,87,+1:54:18,13.0,Lutsenko Alexey,12,Astana Pro Team,1:52:16 1:52:16,\u25b21,15,2017
24,85,91,+1:57:36,14.0,Howson Damien,13,ORICA-Scott,1:55:34 1:55:34,\u25b21,15,2017
23,128,94,+2:01:15,11.0,Politt Nils,14,Team Katusha - Alpecin,1:59:13 1:59:13,\u25bc3,15,2017
24,116,96,+2:02:15,12.0,McCarthy Jay,15,BORA - hansgrohe,2:00:13 2:00:13,\u25bc3,15,2017
22,214,110,+2:13:02,17.0,Gesbert Elie,16,Fortuneo - Oscaro,2:11:00 2:11:00,\u25b21,15,2017
24,167,117,+2:20:50,16.0,Roosen Timo,17,Team LottoNL-Jumbo,2:18:48 2:18:48,\u25bc1,15,2017
25,56,123,+2:22:08,18.0,Kozhatayev Bakhtiyar,18,Astana Pro Team,2:20:06 2:20:06,-,15,2017
24,207,124,+2:23:42,19.0,Smith Dion,19,Wanty - Groupe Gobert,2:21:40 2:21:40,-,15,2017
24,28,132,+2:30:45,22.0,S\xfctterlin Jasha,20,Movistar Team,2:28:43 2:28:43,\u25b22,15,2017
24,148,139,+2:34:20,20.0,Teunissen Mike,21,Team Sunweb,2:32:18 2:32:18,\u25bc1,15,2017
23,129,140,+2:34:54,21.0,Zabel Rick,22,Team Katusha - Alpecin,2:32:52 2:32:52,\u25bc1,15,2017
23,35,142,+2:37:21,24.0,Gogl Michael,23,Trek - Segafredo,2:35:19 2:35:19,\u25b21,15,2017
24,154,147,+2:39:50,23.0,Laporte Christophe,24,"Cofidis, Solutions Cr\xe9dits",2:37:48 2:37:48,\u25bc1,15,2017
23,172,150,+2:42:57,25.0,Boudat Thomas,25,Direct Energie,2:40:55 2:40:55,-,15,2017
24,163,160,+2:55:27,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,2:53:25 2:53:25,-,15,2017
23,76,162,+2:56:58,27.0,Le Gac Olivier,27,FDJ,2:54:56 2:54:56,-,15,2017
24,158,163,+2:57:14,28.0,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",2:55:12 2:55:12,-,15,2017
25,211,175,+3:24:19,29.0,McLay Daniel,29,Fortuneo - Oscaro,3:22:17 3:22:17,-,15,2017
24,89,6,+2:02,1.0,Yates Simon,1,ORICA-Scott,68:20:38 68:20:38,-,16,2017
25,61,8,+6:00,2.0,Meintjes Louis,2,UAE Team Emirates,3:58 3:58,-,16,2017
23,17,13,+14:32,3.0,Latour Pierre,3,AG2R La Mondiale,12:30 12:30,-,16,2017
24,113,16,+20:28,4.0,Buchmann Emanuel,4,BORA - hansgrohe,18:26 18:26,-,16,2017
24,201,18,+28:19,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,26:17 26:17,-,16,2017
23,133,20,+30:10,6.0,Benoot Tiesj,6,Lotto Soudal,28:08 28:08,-,16,2017
24,173,29,+57:33,7.0,Calmejane Lilian,7,Direct Energie,55:31 55:31,-,16,2017
25,58,65,+1:44:14,8.0,Valgren Michael,8,Astana Pro Team,1:42:12 1:42:12,-,16,2017
23,44,70,+1:50:11,10.0,K\xfcng Stefan,9,BMC Racing Team,1:48:09 1:48:09,\u25b21,16,2017
25,189,74,+1:54:48,11.0,van Baarle Dylan,10,Cannondale-Drapac Pro Cycling Team,1:52:46 1:52:46,\u25b21,16,2017
23,182,82,+2:00:41,9.0,Bettiol Alberto,11,Cannondale-Drapac Pro Cycling Team,1:58:39 1:58:39,\u25bc2,16,2017
24,57,83,+2:01:03,12.0,Lutsenko Alexey,12,Astana Pro Team,1:59:01 1:59:01,-,16,2017
24,116,87,+2:03:06,15.0,McCarthy Jay,13,BORA - hansgrohe,2:01:04 2:01:04,\u25b22,16,2017
23,128,94,+2:06:20,14.0,Politt Nils,14,Team Katusha - Alpecin,2:04:18 2:04:18,-,16,2017
24,85,95,+2:06:45,13.0,Howson Damien,15,ORICA-Scott,2:04:43 2:04:43,\u25bc2,16,2017
22,214,99,+2:14:35,16.0,Gesbert Elie,16,Fortuneo - Oscaro,2:12:33 2:12:33,-,16,2017
25,56,119,+2:29:46,18.0,Kozhatayev Bakhtiyar,17,Astana Pro Team,2:27:44 2:27:44,\u25b21,16,2017
24,28,121,+2:32:18,20.0,S\xfctterlin Jasha,18,Movistar Team,2:30:16 2:30:16,\u25b22,16,2017
24,167,127,+2:37:09,17.0,Roosen Timo,19,Team LottoNL-Jumbo,2:35:07 2:35:07,\u25bc2,16,2017
24,154,131,+2:39:50,24.0,Laporte Christophe,20,"Cofidis, Solutions Cr\xe9dits",2:37:48 2:37:48,\u25b24,16,2017
24,207,132,+2:40:01,19.0,Smith Dion,21,Wanty - Groupe Gobert,2:37:59 2:37:59,\u25bc2,16,2017
24,148,133,+2:40:39,21.0,Teunissen Mike,22,Team Sunweb,2:38:37 2:38:37,\u25bc1,16,2017
23,172,142,+2:47:51,25.0,Boudat Thomas,23,Direct Energie,2:45:49 2:45:49,\u25b22,16,2017
23,129,145,+2:51:13,22.0,Zabel Rick,24,Team Katusha - Alpecin,2:49:11 2:49:11,\u25bc2,16,2017
23,35,148,+2:53:40,23.0,Gogl Michael,25,Trek - Segafredo,2:51:38 2:51:38,\u25bc2,16,2017
24,163,161,+3:11:46,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,3:09:44 3:09:44,-,16,2017
23,76,163,+3:13:17,27.0,Le Gac Olivier,27,FDJ,3:11:15 3:11:15,-,16,2017
24,158,164,+3:13:33,28.0,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",3:11:31 3:11:31,-,16,2017
25,211,173,+3:50:36,29.0,McLay Daniel,29,Fortuneo - Oscaro,3:48:34 3:48:34,-,16,2017
24,89,7,+4:07,1.0,Yates Simon,1,ORICA-Scott,73:31:33 73:31:33,-,17,2017
25,61,8,+6:35,2.0,Meintjes Louis,2,UAE Team Emirates,2:28 2:28,-,17,2017
24,113,15,+27:06,4.0,Buchmann Emanuel,3,BORA - hansgrohe,22:59 22:59,\u25b21,17,2017
23,133,19,+37:46,6.0,Benoot Tiesj,4,Lotto Soudal,33:39 33:39,\u25b22,17,2017
24,201,20,+43:53,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,39:46 39:46,-,17,2017
23,17,22,+47:04,3.0,Latour Pierre,6,AG2R La Mondiale,42:57 42:57,\u25bc3,17,2017
24,173,32,+1:21:15,7.0,Calmejane Lilian,7,Direct Energie,1:17:08 1:17:08,-,17,2017
25,58,64,+2:11:51,8.0,Valgren Michael,8,Astana Pro Team,2:07:44 2:07:44,-,17,2017
25,189,71,+2:22:25,10.0,van Baarle Dylan,9,Cannondale-Drapac Pro Cycling Team,2:18:18 2:18:18,\u25b21,17,2017
23,44,72,+2:22:43,9.0,K\xfcng Stefan,10,BMC Racing Team,2:18:36 2:18:36,\u25bc1,17,2017
23,182,79,+2:28:18,11.0,Bettiol Alberto,11,Cannondale-Drapac Pro Cycling Team,2:24:11 2:24:11,-,17,2017
24,57,84,+2:33:35,12.0,Lutsenko Alexey,12,Astana Pro Team,2:29:28 2:29:28,-,17,2017
24,116,87,+2:35:38,13.0,McCarthy Jay,13,BORA - hansgrohe,2:31:31 2:31:31,-,17,2017
23,128,95,+2:38:52,14.0,Politt Nils,14,Team Katusha - Alpecin,2:34:45 2:34:45,-,17,2017
24,85,96,+2:39:17,15.0,Howson Damien,15,ORICA-Scott,2:35:10 2:35:10,-,17,2017
22,214,100,+2:47:07,16.0,Gesbert Elie,16,Fortuneo - Oscaro,2:43:00 2:43:00,-,17,2017
25,56,115,+2:57:23,17.0,Kozhatayev Bakhtiyar,17,Astana Pro Team,2:53:16 2:53:16,-,17,2017
24,28,118,+2:59:55,18.0,S\xfctterlin Jasha,18,Movistar Team,2:55:48 2:55:48,-,17,2017
24,167,126,+3:09:41,19.0,Roosen Timo,19,Team LottoNL-Jumbo,3:05:34 3:05:34,-,17,2017
24,154,130,+3:12:22,20.0,Laporte Christophe,20,"Cofidis, Solutions Cr\xe9dits",3:08:15 3:08:15,-,17,2017
24,207,131,+3:12:33,21.0,Smith Dion,21,Wanty - Groupe Gobert,3:08:26 3:08:26,-,17,2017
24,148,132,+3:13:11,22.0,Teunissen Mike,22,Team Sunweb,3:09:04 3:09:04,-,17,2017
23,172,141,+3:20:23,23.0,Boudat Thomas,23,Direct Energie,3:16:16 3:16:16,-,17,2017
23,129,144,+3:23:45,24.0,Zabel Rick,24,Team Katusha - Alpecin,3:19:38 3:19:38,-,17,2017
23,35,147,+3:26:12,25.0,Gogl Michael,25,Trek - Segafredo,3:22:05 3:22:05,-,17,2017
24,163,159,+3:44:18,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,3:40:11 3:40:11,-,17,2017
23,76,161,+3:45:49,27.0,Le Gac Olivier,27,FDJ,3:41:42 3:41:42,-,17,2017
24,158,162,+3:46:05,28.0,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",3:41:58 3:41:58,-,17,2017
24,89,7,+4:46,1.0,Yates Simon,1,ORICA-Scott,78:13:05 78:13:05,-,18,2017
25,61,8,+6:52,2.0,Meintjes Louis,2,UAE Team Emirates,2:06 2:06,-,18,2017
24,113,15,+31:01,3.0,Buchmann Emanuel,3,BORA - hansgrohe,26:15 26:15,-,18,2017
23,133,19,+40:49,4.0,Benoot Tiesj,4,Lotto Soudal,36:03 36:03,-,18,2017
24,201,21,+50:53,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,46:07 46:07,-,18,2017
23,17,25,+1:10:34,6.0,Latour Pierre,6,AG2R La Mondiale,1:05:48 1:05:48,-,18,2017
24,173,39,+1:44:45,7.0,Calmejane Lilian,7,Direct Energie,1:39:59 1:39:59,-,18,2017
25,58,62,+2:23:32,8.0,Valgren Michael,8,Astana Pro Team,2:18:46 2:18:46,-,18,2017
24,57,71,+2:36:09,12.0,Lutsenko Alexey,9,Astana Pro Team,2:31:23 2:31:23,\u25b23,18,2017
25,189,78,+2:45:55,9.0,van Baarle Dylan,10,Cannondale-Drapac Pro Cycling Team,2:41:09 2:41:09,\u25bc1,18,2017
23,44,80,+2:48:49,10.0,K\xfcng Stefan,11,BMC Racing Team,2:44:03 2:44:03,\u25bc1,18,2017
24,85,87,+2:55:07,15.0,Howson Damien,12,ORICA-Scott,2:50:21 2:50:21,\u25b23,18,2017
23,182,88,+2:55:26,11.0,Bettiol Alberto,13,Cannondale-Drapac Pro Cycling Team,2:50:40 2:50:40,\u25bc2,18,2017
25,56,91,+3:00:52,17.0,Kozhatayev Bakhtiyar,14,Astana Pro Team,2:56:06 2:56:06,\u25b23,18,2017
23,128,95,+3:02:51,14.0,Politt Nils,15,Team Katusha - Alpecin,2:58:05 2:58:05,\u25bc1,18,2017
24,116,97,+3:03:51,13.0,McCarthy Jay,16,BORA - hansgrohe,2:59:05 2:59:05,\u25bc3,18,2017
22,214,98,+3:05:13,16.0,Gesbert Elie,17,Fortuneo - Oscaro,3:00:27 3:00:27,\u25bc1,18,2017
24,28,110,+3:17:17,18.0,S\xfctterlin Jasha,18,Movistar Team,3:12:31 3:12:31,-,18,2017
24,167,115,+3:22:21,19.0,Roosen Timo,19,Team LottoNL-Jumbo,3:17:35 3:17:35,-,18,2017
24,207,125,+3:36:03,21.0,Smith Dion,20,Wanty - Groupe Gobert,3:31:17 3:31:17,\u25b21,18,2017
24,148,133,+3:41:24,22.0,Teunissen Mike,21,Team Sunweb,3:36:38 3:36:38,\u25b21,18,2017
24,154,135,+3:43:59,20.0,Laporte Christophe,22,"Cofidis, Solutions Cr\xe9dits",3:39:13 3:39:13,\u25bc2,18,2017
23,172,143,+3:49:21,23.0,Boudat Thomas,23,Direct Energie,3:44:35 3:44:35,-,18,2017
23,129,145,+3:51:58,24.0,Zabel Rick,24,Team Katusha - Alpecin,3:47:12 3:47:12,-,18,2017
23,35,148,+3:55:48,25.0,Gogl Michael,25,Trek - Segafredo,3:51:02 3:51:02,-,18,2017
24,163,159,+4:12:31,26.0,Groenewegen Dylan,26,Team LottoNL-Jumbo,4:07:45 4:07:45,-,18,2017
23,76,161,+4:14:02,27.0,Le Gac Olivier,27,FDJ,4:09:16 4:09:16,-,18,2017
24,158,162,+4:14:18,28.0,S\xe9n\xe9chal Florian,28,"Cofidis, Solutions Cr\xe9dits",4:09:32 4:09:32,-,18,2017
24,89,7,+4:46,1.0,Yates Simon,1,ORICA-Scott,83:31:41 83:31:41,-,19,2017
25,61,8,+6:52,2.0,Meintjes Louis,2,UAE Team Emirates,2:06 2:06,-,19,2017
24,113,15,+31:01,3.0,Buchmann Emanuel,3,BORA - hansgrohe,26:15 26:15,-,19,2017
23,133,20,+40:49,4.0,Benoot Tiesj,4,Lotto Soudal,36:03 36:03,-,19,2017
24,201,23,+50:53,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,46:07 46:07,-,19,2017
23,17,26,+1:10:34,6.0,Latour Pierre,6,AG2R La Mondiale,1:05:48 1:05:48,-,19,2017
24,173,36,+1:33:55,7.0,Calmejane Lilian,7,Direct Energie,1:29:09 1:29:09,-,19,2017
25,58,63,+2:23:32,8.0,Valgren Michael,8,Astana Pro Team,2:18:46 2:18:46,-,19,2017
24,57,71,+2:36:09,9.0,Lutsenko Alexey,9,Astana Pro Team,2:31:23 2:31:23,-,19,2017
25,189,78,+2:45:55,10.0,van Baarle Dylan,10,Cannondale-Drapac Pro Cycling Team,2:41:09 2:41:09,-,19,2017
23,44,80,+2:48:49,11.0,K\xfcng Stefan,11,BMC Racing Team,2:44:03 2:44:03,-,19,2017
22,214,87,+2:53:03,17.0,Gesbert Elie,12,Fortuneo - Oscaro,2:48:17 2:48:17,\u25b25,19,2017
24,85,90,+2:55:07,12.0,Howson Damien,13,ORICA-Scott,2:50:21 2:50:21,\u25bc1,19,2017
23,182,91,+2:55:26,13.0,Bettiol Alberto,14,Cannondale-Drapac Pro Cycling Team,2:50:40 2:50:40,\u25bc1,19,2017
25,56,93,+3:00:52,14.0,Kozhatayev Bakhtiyar,15,Astana Pro Team,2:56:06 2:56:06,\u25bc1,19,2017
23,128,96,+3:02:51,15.0,Politt Nils,16,Team Katusha - Alpecin,2:58:05 2:58:05,\u25bc1,19,2017
24,116,98,+3:03:51,16.0,McCarthy Jay,17,BORA - hansgrohe,2:59:05 2:59:05,\u25bc1,19,2017
24,28,110,+3:17:17,18.0,S\xfctterlin Jasha,18,Movistar Team,3:12:31 3:12:31,-,19,2017
24,207,124,+3:36:03,20.0,Smith Dion,19,Wanty - Groupe Gobert,3:31:17 3:31:17,\u25b21,19,2017
24,148,131,+3:41:24,21.0,Teunissen Mike,20,Team Sunweb,3:36:38 3:36:38,\u25b21,19,2017
24,154,133,+3:43:59,22.0,Laporte Christophe,21,"Cofidis, Solutions Cr\xe9dits",3:39:13 3:39:13,\u25b21,19,2017
23,172,141,+3:49:21,23.0,Boudat Thomas,22,Direct Energie,3:44:35 3:44:35,\u25b21,19,2017
23,129,143,+3:51:58,24.0,Zabel Rick,23,Team Katusha - Alpecin,3:47:12 3:47:12,\u25b21,19,2017
23,35,146,+3:55:48,25.0,Gogl Michael,24,Trek - Segafredo,3:51:02 3:51:02,\u25b21,19,2017
24,163,157,+4:12:31,26.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,4:07:45 4:07:45,\u25b21,19,2017
23,76,159,+4:14:02,27.0,Le Gac Olivier,26,FDJ,4:09:16 4:09:16,\u25b21,19,2017
24,158,160,+4:14:18,28.0,S\xe9n\xe9chal Florian,27,"Cofidis, Solutions Cr\xe9dits",4:09:32 4:09:32,\u25b21,19,2017
24,89,7,+6:14,1.0,Yates Simon,1,ORICA-Scott,84:01:30 84:01:30,-,20,2017
25,61,8,+8:20,2.0,Meintjes Louis,2,UAE Team Emirates,2:06 2:06,-,20,2017
24,113,15,+33:21,3.0,Buchmann Emanuel,3,BORA - hansgrohe,27:07 27:07,-,20,2017
23,133,20,+42:04,4.0,Benoot Tiesj,4,Lotto Soudal,35:50 35:50,-,20,2017
24,201,23,+53:52,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,47:38 47:38,-,20,2017
23,17,26,+1:12:43,6.0,Latour Pierre,6,AG2R La Mondiale,1:06:29 1:06:29,-,20,2017
24,173,35,+1:35:16,7.0,Calmejane Lilian,7,Direct Energie,1:29:02 1:29:02,-,20,2017
25,58,62,+2:25:36,8.0,Valgren Michael,8,Astana Pro Team,2:19:22 2:19:22,-,20,2017
24,57,70,+2:37:39,9.0,Lutsenko Alexey,9,Astana Pro Team,2:31:25 2:31:25,-,20,2017
25,189,77,+2:47:11,10.0,van Baarle Dylan,10,Cannondale-Drapac Pro Cycling Team,2:40:57 2:40:57,-,20,2017
23,44,79,+2:49:17,11.0,K\xfcng Stefan,11,BMC Racing Team,2:43:03 2:43:03,-,20,2017
22,214,86,+2:55:13,12.0,Gesbert Elie,12,Fortuneo - Oscaro,2:48:59 2:48:59,-,20,2017
24,85,90,+2:56:57,13.0,Howson Damien,13,ORICA-Scott,2:50:43 2:50:43,-,20,2017
23,182,91,+2:57:56,14.0,Bettiol Alberto,14,Cannondale-Drapac Pro Cycling Team,2:51:42 2:51:42,-,20,2017
23,128,93,+3:03:28,16.0,Politt Nils,15,Team Katusha - Alpecin,2:57:14 2:57:14,\u25b21,20,2017
25,56,94,+3:04:11,15.0,Kozhatayev Bakhtiyar,16,Astana Pro Team,2:57:57 2:57:57,\u25bc1,20,2017
24,116,96,+3:05:13,17.0,McCarthy Jay,17,BORA - hansgrohe,2:58:59 2:58:59,-,20,2017
24,28,108,+3:17:53,18.0,S\xfctterlin Jasha,18,Movistar Team,3:11:39 3:11:39,-,20,2017
24,207,124,+3:39:24,19.0,Smith Dion,19,Wanty - Groupe Gobert,3:33:10 3:33:10,-,20,2017
24,148,130,+3:43:52,20.0,Teunissen Mike,20,Team Sunweb,3:37:38 3:37:38,-,20,2017
24,154,133,+3:46:47,21.0,Laporte Christophe,21,"Cofidis, Solutions Cr\xe9dits",3:40:33 3:40:33,-,20,2017
23,172,142,+3:53:08,22.0,Boudat Thomas,22,Direct Energie,3:46:54 3:46:54,-,20,2017
23,129,143,+3:55:10,23.0,Zabel Rick,23,Team Katusha - Alpecin,3:48:56 3:48:56,-,20,2017
23,35,146,+3:59:06,24.0,Gogl Michael,24,Trek - Segafredo,3:52:52 3:52:52,-,20,2017
24,163,158,+4:16:12,25.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,4:09:58 4:09:58,-,20,2017
24,158,159,+4:17:12,27.0,S\xe9n\xe9chal Florian,26,"Cofidis, Solutions Cr\xe9dits",4:10:58 4:10:58,\u25b21,20,2017
23,76,160,+4:17:21,26.0,Le Gac Olivier,27,FDJ,4:11:07 4:11:07,\u25bc1,20,2017
24,89,7,+6:14,1.0,Yates Simon,1,ORICA-Scott,86:27:09 86:27:09,-,21,2017
25,61,8,+8:20,2.0,Meintjes Louis,2,UAE Team Emirates,2:06 2:06,-,21,2017
24,113,15,+33:21,3.0,Buchmann Emanuel,3,BORA - hansgrohe,27:07 27:07,-,21,2017
23,133,20,+42:04,4.0,Benoot Tiesj,4,Lotto Soudal,35:50 35:50,-,21,2017
24,201,23,+53:52,5.0,Martin Guillaume,5,Wanty - Groupe Gobert,47:38 47:38,-,21,2017
23,17,29,+1:18:45,6.0,Latour Pierre,6,AG2R La Mondiale,1:18:45 1:18:45,-,21,2017
24,173,35,+1:35:16,7.0,Calmejane Lilian,7,Direct Energie,1:29:02 1:29:02,-,21,2017
25,58,61,+2:25:36,8.0,Valgren Michael,8,Astana Pro Team,2:19:22 2:19:22,-,21,2017
24,57,71,+2:39:10,9.0,Lutsenko Alexey,9,Astana Pro Team,2:39:10 2:39:10,-,21,2017
25,189,77,+2:47:11,10.0,van Baarle Dylan,10,Cannondale-Drapac Pro Cycling Team,2:40:57 2:40:57,-,21,2017
23,44,79,+2:49:17,11.0,K\xfcng Stefan,11,BMC Racing Team,2:43:03 2:43:03,-,21,2017
22,214,85,+2:55:13,12.0,Gesbert Elie,12,Fortuneo - Oscaro,2:48:59 2:48:59,-,21,2017
24,85,88,+2:56:57,13.0,Howson Damien,13,ORICA-Scott,2:50:43 2:50:43,-,21,2017
23,182,90,+2:57:56,14.0,Bettiol Alberto,14,Cannondale-Drapac Pro Cycling Team,2:51:42 2:51:42,-,21,2017
25,56,93,+3:04:11,16.0,Kozhatayev Bakhtiyar,15,Astana Pro Team,2:57:57 2:57:57,\u25b21,21,2017
24,116,94,+3:05:13,17.0,McCarthy Jay,16,BORA - hansgrohe,2:58:59 2:58:59,\u25b21,21,2017
23,128,95,+3:05:52,15.0,Politt Nils,17,Team Katusha - Alpecin,3:05:52 3:05:52,\u25bc2,21,2017
24,28,108,+3:17:53,18.0,S\xfctterlin Jasha,18,Movistar Team,3:11:39 3:11:39,-,21,2017
24,207,124,+3:39:24,19.0,Smith Dion,19,Wanty - Groupe Gobert,3:39:24 3:39:24,-,21,2017
24,148,129,+3:43:52,20.0,Teunissen Mike,20,Team Sunweb,3:43:52 3:43:52,-,21,2017
24,154,133,+3:46:47,21.0,Laporte Christophe,21,"Cofidis, Solutions Cr\xe9dits",3:46:47 3:46:47,-,21,2017
23,172,140,+3:53:08,22.0,Boudat Thomas,22,Direct Energie,3:46:54 3:46:54,-,21,2017
23,129,145,+3:55:48,23.0,Zabel Rick,23,Team Katusha - Alpecin,3:55:48 3:55:48,-,21,2017
23,35,146,+3:59:06,24.0,Gogl Michael,24,Trek - Segafredo,3:52:52 3:52:52,-,21,2017
24,163,156,+4:16:02,25.0,Groenewegen Dylan,25,Team LottoNL-Jumbo,4:09:48 4:09:48,-,21,2017
23,76,158,+4:17:21,27.0,Le Gac Olivier,26,FDJ,4:11:07 4:11:07,\u25b21,21,2017
24,158,161,+4:19:17,26.0,S\xe9n\xe9chal Florian,27,"Cofidis, Solutions Cr\xe9dits",4:19:17 4:19:17,\u25bc1,21,2017
