Rnk,Rider,Age,Team,Pnt,GC,GC-Time,Time,year,stage
1,Hammond Roger,35,Cervelo Test Team,20.0,,+0:00,3:33:00 3:33:00,2009,2
2,Napolitano Danilo,28,Team Katusha,12.0,,+0:00,0:01 0:01,2009,2
3,Haussler Heinrich,24,Cervelo Test Team,7.0,,+0:00,",, 0:01",2009,2
4,Boonen Tom,28,Quickstep - Innergetic,5.0,,+0:00,",, 0:01",2009,2
5,Furlan Angelo,31,Lampre - NGC,4.0,,+0:00,",, 0:01",2009,2
6,Fischer Murilo Antonio,29,Liquigas,3.0,,+0:00,",, 0:01",2009,2
7,Klier Andreas,33,Cervelo Test Team,2.0,,+0:00,",, 0:01",2009,2
8,Florencio Xavier,29,Cervelo Test Team,1.0,,+0:00,0:04 0:04,2009,2
9,Reynes Vicente,27,Team Columbia - HTC,,,+0:00,",, 0:04",2009,2
10,Lloyd Daniel,28,Cervelo Test Team,,,+0:00,",, 0:04",2009,2
11,Vansummeren Johan,27,Silence - Lotto,,,+0:00,0:09 0:09,2009,2
12,de Jongh Steven,35,Quickstep - Innergetic,,,+0:00,",, 0:09",2009,2
13,Rasch Gabriel,32,Cervelo Test Team,,,+0:00,0:31 0:31,2009,2
14,Hulsmans Kevin,30,Quickstep - Innergetic,,,+0:00,0:50 0:50,2009,2
15,Cavendish Mark,23,Team Columbia - HTC,,,+0:00,2:11 2:11,2009,2
16,Veelers Tom,24,Skil - Shimano,,,+0:00,",, 2:11",2009,2
17,Markov Alexei,29,Team Katusha,,,+0:00,",, 2:11",2009,2
18,Zberg Markus,34,BMC Racing Team,,,+0:00,",, 2:11",2009,2
19,Neirynck Stijn,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 2:11",2009,2
20,Wagner Robert,25,Skil - Shimano,,,+0:00,",, 2:11",2009,2
21,Gajek Artur,23,Milram,,,+0:00,",, 2:11",2009,2
22,Dekkers Hans,27,Team Garmin - Slipstream,,,+0:00,",, 2:11",2009,2
23,Mondory Lloyd,26,AG2R La Mondiale,,,+0:00,",, 2:11",2009,2
24,Ignatyev Mikhail,23,Team Katusha,,,+0:00,",, 2:11",2009,2
25,Dion Renaud,31,AG2R La Mondiale,,,+0:00,",, 2:11",2009,2
26,Cretskens Wilfried,32,Silence - Lotto,,,+0:00,",, 2:11",2009,2
27,Vandewalle Kristof,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 2:11",2009,2
28,Reimer Martin,21,Cervelo Test Team,,,+0:00,",, 2:11",2009,2
29,Sentjens Roy,28,Silence - Lotto,,,+0:00,",, 2:11",2009,2
30,Duijn Huub,24,Team Garmin - Slipstream,,,+0:00,",, 2:11",2009,2
31,Knaven Servais,37,Milram,,,+0:00,",, 2:11",2009,2
32,Pozzato Filippo,27,Team Katusha,,,+0:00,",, 2:11",2009,2
33,Tjallingii Maarten,31,Rabobank ProTeam,,,+0:00,",, 2:11",2009,2
34,Galimzyanov Denis,21,Team Katusha,,,+0:00,",, 2:11",2009,2
35,Tankink Bram,30,Rabobank ProTeam,,,+0:00,",, 2:11",2009,2
36,Wrolich Peter,34,Milram,,,+0:00,",, 2:11",2009,2
37,Oss Daniel,22,Liquigas,,,+0:00,",, 2:11",2009,2
38,Sieberg Marcel,26,Team Columbia - HTC,,,+0:00,",, 2:11",2009,2
39,Burghardt Marcus,25,Team Columbia - HTC,,,+0:00,",, 2:11",2009,2
40,van Hummel Kenny,26,Skil - Shimano,,,+0:00,",, 2:11",2009,2
41,Posthuma Joost,27,Rabobank ProTeam,,,+0:00,",, 2:11",2009,2
42,Shaw Stuart,31,Drapac - Porsche Cycling,,,+0:00,",, 2:11",2009,2
43,Lorenzetto Mirco,27,Lampre - NGC,,,+0:00,",, 2:11",2009,2
44,Hunt Jeremy,34,Cervelo Test Team,,,+0:00,",, 2:11",2009,2
45,Da Dalto Mauro,27,Lampre - NGC,,,+0:00,",, 2:11",2009,2
46,Serov Alexander,26,Team Katusha,,,+0:00,",, 2:11",2009,2
47,Hasanin Omar,30,,,,+0:00,6:38 6:38,2009,2
48,Nolf Frederiek,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 6:38",2009,2
49,Stalder Florian,26,BMC Racing Team,,,+0:00,",, 6:38",2009,2
50,Krivtsov Yuriy,29,AG2R La Mondiale,,,+0:00,",, 6:38",2009,2
51,Damiens Mickael,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 6:38",2009,2
52,Bodnar Maciej,23,Liquigas,,,+0:00,",, 6:38",2009,2
53,Mikhailov Guennady,34,Team Katusha,,,+0:00,",, 6:38",2009,2
54,Goddaert Kristof,22,Topsport Vlaanderen - Mercator,,,+0:00,",, 6:38",2009,2
55,Mori Massimiliano,35,Lampre - NGC,,,+0:00,",, 6:38",2009,2
56,Kohler Martin,23,BMC Racing Team,,,+0:00,",, 6:38",2009,2
57,Curvers Roy,29,Skil - Shimano,,,+0:00,",, 6:38",2009,2
58,Ben Hassine Aymen,28,,,,+0:00,",, 6:38",2009,2
59,Sabatini Fabio,23,Liquigas,,,+0:00,",, 6:38",2009,2
60,Rosseler Sebastien,27,Quickstep - Innergetic,,,+0:00,",, 6:38",2009,2
61,Velo Marco,34,Quickstep - Innergetic,,,+0:00,",, 6:38",2009,2
62,F\xf6rster Robert,31,Milram,,,+0:00,",, 6:38",2009,2
63,Vanspeybrouck Pieter,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 6:38",2009,2
64,Kadri Blel,22,AG2R La Mondiale,,,+0:00,",, 6:38",2009,2
65,Chicchi Francesco,28,Liquigas,,,+0:00,",, 6:38",2009,2
66,Weylandt Wouter,24,Quickstep - Innergetic,,,+0:00,",, 6:38",2009,2
67,Lang Sebastian,29,Silence - Lotto,,,+0:00,",, 6:38",2009,2
68,de Kort Koen,26,Skil - Shimano,,,+0:00,",, 6:38",2009,2
69,Friedman Michael,26,Team Garmin - Slipstream,,,+0:00,",, 6:38",2009,2
70,Corioni Claudio,26,Liquigas,,,+0:00,",, 6:38",2009,2
71,Terpstra Niki,24,Milram,,,+0:00,",, 6:38",2009,2
72,Sapa Marcin,32,Lampre - NGC,,,+0:00,",, 6:38",2009,2
73,Barry Michael,33,Team Columbia - HTC,,,+0:00,",, 6:38",2009,2
74,Frischkorn William,27,Team Garmin - Slipstream,,,+0:00,",, 6:38",2009,2
75,Roelandts Jurgen,23,Silence - Lotto,,,+0:00,",, 6:38",2009,2
76,Henderson Gregory,32,Team Columbia - HTC,,,+0:00,",, 6:38",2009,2
77,Van Impe Kevin,27,Quickstep - Innergetic,,,+0:00,",, 6:38",2009,2
78,Arrieta Jose Luis,37,AG2R La Mondiale,,,+0:00,",, 6:38",2009,2
79,de Maar Marc,24,Rabobank ProTeam,,,+0:00,",, 6:38",2009,2
80,Beyer Chad,22,BMC Racing Team,,,+0:00,",, 6:38",2009,2
81,Pollock Rhys,28,Drapac - Porsche Cycling,,,+0:00,",, 6:38",2009,2
82,Windsor Dean,22,Drapac - Porsche Cycling,,,+0:00,",, 6:38",2009,2
83,Docker Mitchell,22,Skil - Shimano,,,+0:00,",, 6:38",2009,2
84,Flecha Juan Antonio,31,Rabobank ProTeam,,,+0:00,",, 6:38",2009,2
85,Schr\xf6der Bjorn,28,Milram,,,+0:00,",, 6:38",2009,2
86,Stamsnijder Tom,23,Rabobank ProTeam,,,+0:00,",, 6:38",2009,2
87,Wiggins Bradley,28,Team Garmin - Slipstream,,,+0:00,",, 6:38",2009,2
88,Lemoine Cyril,25,Skil - Shimano,,,+0:00,",, 6:38",2009,2
89,Righi Daniele,32,Lampre - NGC,,,+0:00,",, 6:38",2009,2
90,Maaskant Martijn,25,Team Garmin - Slipstream,,,+0:00,",, 6:38",2009,2
91,Bandiera Marco,24,Lampre - NGC,,,+0:00,8:55 8:55,2009,2
92,Deroo David,23,Skil - Shimano,,,+0:00,9:16 9:16,2009,2
93,Seo Joon Yong,20,Eqa - Meitan Hompo - Graphite Design,,,+0:00,10:46 10:46,2009,2
94,Smukulis Gatis,21,AG2R La Mondiale,,,+0:00,",, 10:46",2009,2
95,Belhani Farid,24,,,,+0:00,19:56 19:56,2009,2
96,Kikuchi Masaaki,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
97,Patour Kilian,26,Team Garmin - Slipstream,,,+0:00,",, 19:56",2009,2
98,Poulhies St\xe9phane,23,AG2R La Mondiale,,,+0:00,",, 19:56",2009,2
99,Stewart Jackson,28,BMC Racing Team,,,+0:00,",, 19:56",2009,2
100,Williams Robert,23,Drapac - Porsche Cycling,,,+0:00,",, 19:56",2009,2
101,Lewis Joe,20,Drapac - Porsche Cycling,,,+0:00,",, 19:56",2009,2
102,Scheirlinckx Staf,29,Silence - Lotto,,,+0:00,",, 19:56",2009,2
103,Hoste Leif,31,Silence - Lotto,,,+0:00,",, 19:56",2009,2
104,Neyens Maarten,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 19:56",2009,2
105,Esmaeili Tareq,31,,,,+0:00,",, 19:56",2009,2
106,Joseph Stijn,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 19:56",2009,2
107,Renders Sven,27,Topsport Vlaanderen - Mercator,,,+0:00,",, 19:56",2009,2
108,Braunsteins Daniel,20,Drapac - Porsche Cycling,,,+0:00,",, 19:56",2009,2
109,Swift Ben,21,Team Katusha,,,+0:00,",, 19:56",2009,2
110,Pineau C\xe9dric,23,AG2R La Mondiale,,,+0:00,",, 19:56",2009,2
111,van der Velde Ricardo,21,Team Garmin - Slipstream,,,+0:00,",, 19:56",2009,2
112,Okazaki Kazuya,36,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
113,Fothen Thomas,25,Milram,,,+0:00,",, 19:56",2009,2
114,Roels Dominik,22,Milram,,,+0:00,",, 19:56",2009,2
115,Grabsch Bert,33,Team Columbia - HTC,,,+0:00,",, 19:56",2009,2
116,Dockx Bart,27,Silence - Lotto,,,+0:00,",, 19:56",2009,2
117,PONT Guillaume,29,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
118,Spilak Simon,22,Lampre - NGC,,,+0:00,",, 19:56",2009,2
119,Wynants Maarten,26,Quickstep - Innergetic,,,+0:00,",, 19:56",2009,2
120,Chtioui Rafa\xe2,23,,,,+0:00,",, 19:56",2009,2
121,Da Ros Gianni,22,Liquigas,,,+0:00,",, 19:56",2009,2
122,Bookwalter Brent,24,BMC Racing Team,,,+0:00,",, 19:56",2009,2
123,McDonald Peter,30,Drapac - Porsche Cycling,,,+0:00,",, 19:56",2009,2
124,Rabon Frantisek,25,Team Columbia - HTC,,,+0:00,",, 19:56",2009,2
125,Nakajima Yasuharu,24,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
126,Hannachi Abdelbaset,24,,,,+0:00,",, 19:56",2009,2
127,Mirza Bader Mohamed,25,,,,+0:00,",, 19:56",2009,2
128,Humbert Ashley,26,Drapac - Porsche Cycling,,,+0:00,",, 19:56",2009,2
129,Park Sung Baek,23,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
130,Shimizu Miyataka,27,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 19:56",2009,2
131,Langeveld Sebastian,24,Rabobank ProTeam,,,+0:00,",, 19:56",2009,2
132,Cruz Antonio,37,BMC Racing Team,,,+0:00,",, 19:56",2009,2
133,Tolleson Taylor,23,BMC Racing Team,,,+0:00,",, 19:56",2009,2
134,Said Moosa,20,,,,+0:00,",, 19:56",2009,2
1,Boonen Tom,28,Quickstep - Innergetic,20.0,,+0:00,2:34:53 2:34:53,2009,3
2,Napolitano Danilo,28,Team Katusha,12.0,,+0:00,",, ,,",2009,3
3,Roelandts Jurgen,23,Silence - Lotto,7.0,,+0:00,",, ,,",2009,3
4,Haussler Heinrich,24,Cervelo Test Team,5.0,,+0:00,",, ,,",2009,3
5,Furlan Angelo,31,Lampre - NGC,4.0,,+0:00,",, ,,",2009,3
6,Hammond Roger,35,Cervelo Test Team,3.0,,+0:00,",, ,,",2009,3
7,Galimzyanov Denis,21,Team Katusha,2.0,,+0:00,",, ,,",2009,3
8,Zberg Markus,34,BMC Racing Team,1.0,,+0:00,",, ,,",2009,3
9,Wagner Robert,25,Skil - Shimano,,,+0:00,",, ,,",2009,3
10,Reimer Martin,21,Cervelo Test Team,,,+0:00,",, ,,",2009,3
11,Klier Andreas,33,Cervelo Test Team,,,+0:00,",, ,,",2009,3
12,Florencio Xavier,29,Cervelo Test Team,,,+0:00,",, ,,",2009,3
13,Lloyd Daniel,28,Cervelo Test Team,,,+0:00,",, ,,",2009,3
14,de Jongh Steven,35,Quickstep - Innergetic,,,+0:00,",, ,,",2009,3
15,Veelers Tom,24,Skil - Shimano,,,+0:00,",, ,,",2009,3
16,Sieberg Marcel,26,Team Columbia - HTC,,,+0:00,0:06 0:06,2009,3
17,Grabsch Bert,33,Team Columbia - HTC,,,+0:00,",, 0:06",2009,3
18,Velo Marco,34,Quickstep - Innergetic,,,+0:00,0:10 0:10,2009,3
19,de Kort Koen,26,Skil - Shimano,,,+0:00,0:13 0:13,2009,3
20,Cretskens Wilfried,32,Silence - Lotto,,,+0:00,0:28 0:28,2009,3
21,Rasch Gabriel,32,Cervelo Test Team,,,+0:00,",, 0:28",2009,3
22,Reynes Vicente,27,Team Columbia - HTC,,,+0:00,",, 0:28",2009,3
23,Bandiera Marco,24,Lampre - NGC,,,+0:00,",, 0:28",2009,3
24,Pozzato Filippo,27,Team Katusha,,,+0:00,",, 0:28",2009,3
25,Hunt Jeremy,34,Cervelo Test Team,,,+0:00,",, 0:28",2009,3
26,Cavendish Mark,23,Team Columbia - HTC,,,+0:00,",, 0:28",2009,3
27,Sapa Marcin,32,Lampre - NGC,,,+0:00,1:27 1:27,2009,3
28,Kohler Martin,23,BMC Racing Team,,,+0:00,1:30 1:30,2009,3
29,Renders Sven,27,Topsport Vlaanderen - Mercator,,,+0:00,",, 1:30",2009,3
30,Langeveld Sebastian,24,Rabobank ProTeam,,,+0:00,",, 1:30",2009,3
31,Wrolich Peter,34,Milram,,,+0:00,",, 1:30",2009,3
32,Goddaert Kristof,22,Topsport Vlaanderen - Mercator,,,+0:00,",, 1:30",2009,3
33,Tjallingii Maarten,31,Rabobank ProTeam,,,+0:00,",, 1:30",2009,3
34,Knaven Servais,37,Milram,,,+0:00,",, 1:30",2009,3
35,Barry Michael,33,Team Columbia - HTC,,,+0:00,",, 1:30",2009,3
36,Dion Renaud,31,AG2R La Mondiale,,,+0:00,",, 1:30",2009,3
37,Lorenzetto Mirco,27,Lampre - NGC,,,+0:00,",, 1:30",2009,3
38,de Maar Marc,24,Rabobank ProTeam,,,+0:00,",, 1:30",2009,3
39,F\xf6rster Robert,31,Milram,,,+0:00,",, 1:30",2009,3
40,Fischer Murilo Antonio,29,Liquigas,,,+0:00,",, 1:30",2009,3
41,Tankink Bram,30,Rabobank ProTeam,,,+0:00,",, 1:30",2009,3
42,Mikhailov Guennady,34,Team Katusha,,,+0:00,",, 1:30",2009,3
43,Flecha Juan Antonio,31,Rabobank ProTeam,,,+0:00,",, 1:30",2009,3
44,van Hummel Kenny,26,Skil - Shimano,,,+0:00,",, 1:30",2009,3
45,Weylandt Wouter,24,Quickstep - Innergetic,,,+0:00,",, 1:30",2009,3
46,Chtioui Rafa\xe2,23,,,,+0:00,2:25 2:25,2009,3
47,Vanspeybrouck Pieter,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 2:25",2009,3
48,Curvers Roy,29,Skil - Shimano,,,+0:00,",, 2:25",2009,3
49,Stamsnijder Tom,23,Rabobank ProTeam,,,+0:00,",, 2:25",2009,3
50,Williams Robert,23,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
51,Lewis Joe,20,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
52,Rosseler Sebastien,27,Quickstep - Innergetic,,,+0:00,",, 2:25",2009,3
53,Cruz Antonio,37,BMC Racing Team,,,+0:00,",, 2:25",2009,3
54,Friedman Michael,26,Team Garmin - Slipstream,,,+0:00,",, 2:25",2009,3
55,Duijn Huub,24,Team Garmin - Slipstream,,,+0:00,",, 2:25",2009,3
56,Lang Sebastian,29,Silence - Lotto,,,+0:00,",, 2:25",2009,3
57,Posthuma Joost,27,Rabobank ProTeam,,,+0:00,",, 2:25",2009,3
58,Pollock Rhys,28,Drapac - Porsche Cycling,,,+0:00,",, 2:25",2009,3
59,Gajek Artur,23,Milram,,,+0:00,",, 2:25",2009,3
60,Roels Dominik,22,Milram,,,+0:00,",, 2:25",2009,3
61,Schr\xf6der Bjorn,28,Milram,,,+0:00,",, 2:25",2009,3
62,Fothen Thomas,25,Milram,,,+0:00,",, 2:25",2009,3
63,Henderson Gregory,32,Team Columbia - HTC,,,+0:00,",, 2:25",2009,3
64,Docker Mitchell,22,Skil - Shimano,,,+0:00,",, 2:25",2009,3
65,Poulhies St\xe9phane,23,AG2R La Mondiale,,,+0:00,",, 2:25",2009,3
66,Hoste Leif,31,Silence - Lotto,,,+0:00,",, 2:25",2009,3
67,Hasanin Omar,30,,,,+0:00,6:31 6:31,2009,3
68,Stewart Jackson,28,BMC Racing Team,,,+0:00,7:36 7:36,2009,3
69,Swift Ben,21,Team Katusha,,,+0:00,",, 7:36",2009,3
70,Serov Alexander,26,Team Katusha,,,+0:00,",, 7:36",2009,3
71,Kadri Blel,22,AG2R La Mondiale,,,+0:00,",, 7:36",2009,3
72,Pineau C\xe9dric,23,AG2R La Mondiale,,,+0:00,",, 7:36",2009,3
73,Markov Alexei,29,Team Katusha,,,+0:00,",, 7:36",2009,3
74,Bookwalter Brent,24,BMC Racing Team,,,+0:00,",, 7:36",2009,3
75,Damiens Mickael,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 7:36",2009,3
76,Bodnar Maciej,23,Liquigas,,,+0:00,",, 7:36",2009,3
77,Ignatyev Mikhail,23,Team Katusha,,,+0:00,",, 7:36",2009,3
78,Oss Daniel,22,Liquigas,,,+0:00,",, 7:36",2009,3
79,Neyens Maarten,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 7:36",2009,3
80,Shaw Stuart,31,Drapac - Porsche Cycling,,,+0:00,",, 7:36",2009,3
81,Frischkorn William,27,Team Garmin - Slipstream,,,+0:00,",, 7:36",2009,3
82,Neirynck Stijn,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 7:36",2009,3
83,Van Impe Kevin,27,Quickstep - Innergetic,,,+0:00,",, 7:36",2009,3
84,Sabatini Fabio,23,Liquigas,,,+0:00,",, 7:36",2009,3
85,Hulsmans Kevin,30,Quickstep - Innergetic,,,+0:00,",, 7:36",2009,3
86,Mori Massimiliano,35,Lampre - NGC,,,+0:00,",, 7:36",2009,3
87,Okazaki Kazuya,36,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 7:36",2009,3
88,Deroo David,23,Skil - Shimano,,,+0:00,",, 7:36",2009,3
89,Lemoine Cyril,25,Skil - Shimano,,,+0:00,",, 7:36",2009,3
90,Belhani Farid,24,,,,+0:00,",, 7:36",2009,3
91,Ben Hassine Aymen,28,,,,+0:00,10:37 10:37,2009,3
92,Chicchi Francesco,28,Liquigas,,,+0:00,",, 10:37",2009,3
93,Burghardt Marcus,25,Team Columbia - HTC,,,+0:00,12:14 12:14,2009,3
94,Wynants Maarten,26,Quickstep - Innergetic,,,+0:00,",, 12:14",2009,3
95,Vansummeren Johan,27,Silence - Lotto,,,+0:00,",, 12:14",2009,3
96,Smukulis Gatis,21,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
97,Da Ros Gianni,22,Liquigas,,,+0:00,",, 12:14",2009,3
98,Hannachi Abdelbaset,24,,,,+0:00,",, 12:14",2009,3
99,Nolf Frederiek,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
100,van der Velde Ricardo,21,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
101,Patour Kilian,26,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
102,Nakajima Yasuharu,24,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
103,Esmaeili Tareq,31,,,,+0:00,",, 12:14",2009,3
104,Wiggins Bradley,28,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
105,Sentjens Roy,28,Silence - Lotto,,,+0:00,",, 12:14",2009,3
106,Dekkers Hans,27,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
107,Joseph Stijn,21,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
108,Terpstra Niki,24,Milram,,,+0:00,",, 12:14",2009,3
109,Arrieta Jose Luis,37,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
110,Tolleson Taylor,23,BMC Racing Team,,,+0:00,",, 12:14",2009,3
111,Maaskant Martijn,25,Team Garmin - Slipstream,,,+0:00,",, 12:14",2009,3
112,Seo Joon Yong,20,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
113,Vandewalle Kristof,23,Topsport Vlaanderen - Mercator,,,+0:00,",, 12:14",2009,3
114,Kikuchi Masaaki,22,Eqa - Meitan Hompo - Graphite Design,,,+0:00,",, 12:14",2009,3
115,Scheirlinckx Staf,29,Silence - Lotto,,,+0:00,",, 12:14",2009,3
116,Krivtsov Yuriy,29,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
117,McDonald Peter,30,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
118,Mondory Lloyd,26,AG2R La Mondiale,,,+0:00,",, 12:14",2009,3
119,Da Dalto Mauro,27,Lampre - NGC,,,+0:00,",, 12:14",2009,3
120,Beyer Chad,22,BMC Racing Team,,,+0:00,",, 12:14",2009,3
121,Stalder Florian,26,BMC Racing Team,,,+0:00,",, 12:14",2009,3
122,Righi Daniele,32,Lampre - NGC,,,+0:00,",, 12:14",2009,3
123,Corioni Claudio,26,Liquigas,,,+0:00,",, 12:14",2009,3
124,Spilak Simon,22,Lampre - NGC,,,+0:00,",, 12:14",2009,3
125,Windsor Dean,22,Drapac - Porsche Cycling,,,+0:00,",, 12:14",2009,3
126,Dockx Bart,27,Silence - Lotto,,,+0:00,",, 12:14",2009,3
